RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V300;;
Number;V300;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3609;;
Temperature Maximum;25,6°C;;
Temperature Minimum;9,4°C;;
Temperature Average;15,3°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;71%RH;;
Humidity Minimum;43,2%RH;;
Humidity Average;58,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:57;;
End Time;28/5/2022 22:37;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:57:51;17,1;45,8
2;2022-05-16 10:02:51;17,5;46,1
3;2022-05-16 10:07:51;17,7;45,9
4;2022-05-16 10:12:51;15,5;43,2
5;2022-05-16 10:17:51;14,4;44,5
6;2022-05-16 10:22:51;13,8;45,6
7;2022-05-16 10:27:51;13,5;46,3
8;2022-05-16 10:32:51;13,4;46,7
9;2022-05-16 10:37:51;13,4;47
10;2022-05-16 10:42:51;13,4;47,2
11;2022-05-16 10:47:51;13,4;47,4
12;2022-05-16 10:52:51;13,4;47,5
13;2022-05-16 10:57:51;13,5;47,5
14;2022-05-16 11:02:51;13,5;47,5
15;2022-05-16 11:07:51;13,6;47,4
16;2022-05-16 11:12:51;13,6;47,4
17;2022-05-16 11:17:51;13,7;47,4
18;2022-05-16 11:22:51;13,7;47,3
19;2022-05-16 11:27:51;13,8;47,4
20;2022-05-16 11:32:51;13,9;47,5
21;2022-05-16 11:37:51;13,9;47,6
22;2022-05-16 11:42:51;14;47,7
23;2022-05-16 11:47:51;14;47,8
24;2022-05-16 11:52:51;14;47,9
25;2022-05-16 11:57:51;14,1;48,1
26;2022-05-16 12:02:51;14,1;48,1
27;2022-05-16 12:07:51;14,2;48,1
28;2022-05-16 12:12:51;14,2;48,2
29;2022-05-16 12:17:51;14,3;48,4
30;2022-05-16 12:22:51;14,3;48,4
31;2022-05-16 12:27:51;14,4;48,6
32;2022-05-16 12:32:51;14,5;48,8
33;2022-05-16 12:37:51;14,5;49
34;2022-05-16 12:42:51;14,5;48,8
35;2022-05-16 12:47:51;14,6;48,7
36;2022-05-16 12:52:51;14,6;48,7
37;2022-05-16 12:57:51;14,7;48,8
38;2022-05-16 13:02:51;14,7;48,9
39;2022-05-16 13:07:51;14,7;49
40;2022-05-16 13:12:51;14,8;48,9
41;2022-05-16 13:17:51;14,8;48,9
42;2022-05-16 13:22:51;14,9;48,7
43;2022-05-16 13:27:51;14,9;48,7
44;2022-05-16 13:32:51;15;48,8
45;2022-05-16 13:37:51;15;49,1
46;2022-05-16 13:42:51;15,1;49,2
47;2022-05-16 13:47:51;15,1;49,5
48;2022-05-16 13:52:51;15,1;49,5
49;2022-05-16 13:57:51;15,2;49,5
50;2022-05-16 14:02:51;15,2;49,8
51;2022-05-16 14:07:51;15,2;49,7
52;2022-05-16 14:12:51;15,3;49,7
53;2022-05-16 14:17:51;15,3;49,8
54;2022-05-16 14:22:51;15,4;50,1
55;2022-05-16 14:27:51;15,4;50,2
56;2022-05-16 14:32:51;15,4;50,2
57;2022-05-16 14:37:51;15,5;50,5
58;2022-05-16 14:42:51;15,5;50,7
59;2022-05-16 14:47:51;15,6;51
60;2022-05-16 14:52:51;15,6;51,1
61;2022-05-16 14:57:51;15,6;51,3
62;2022-05-16 15:02:51;15,7;51,5
63;2022-05-16 15:07:51;15,7;51,3
64;2022-05-16 15:12:51;15,8;51,5
65;2022-05-16 15:17:51;15,8;51,7
66;2022-05-16 15:22:51;15,8;51,7
67;2022-05-16 15:27:51;15,8;51,7
68;2022-05-16 15:32:51;15,9;51,5
69;2022-05-16 15:37:51;15,9;51,5
70;2022-05-16 15:42:51;15,9;51,3
71;2022-05-16 15:47:51;15,9;51,3
72;2022-05-16 15:52:51;15,9;51,4
73;2022-05-16 15:57:51;15,9;51,4
74;2022-05-16 16:02:51;16;51,4
75;2022-05-16 16:07:51;16;51,3
76;2022-05-16 16:12:51;16;51,2
77;2022-05-16 16:17:51;16;51,3
78;2022-05-16 16:22:51;16;51,3
79;2022-05-16 16:27:51;16;51,4
80;2022-05-16 16:32:51;16;51,5
81;2022-05-16 16:37:51;16;51,6
82;2022-05-16 16:42:51;16;51,5
83;2022-05-16 16:47:51;16;51,4
84;2022-05-16 16:52:51;16;51,5
85;2022-05-16 16:57:51;16;51,5
86;2022-05-16 17:02:51;16;51,6
87;2022-05-16 17:07:51;16;51,6
88;2022-05-16 17:12:51;16;51,5
89;2022-05-16 17:17:51;16;51,5
90;2022-05-16 17:22:51;16;51,6
91;2022-05-16 17:27:51;15,9;51,7
92;2022-05-16 17:32:51;15,9;51,8
93;2022-05-16 17:37:51;15,8;51,9
94;2022-05-16 17:42:51;15,7;52,1
95;2022-05-16 17:47:51;15,7;52,2
96;2022-05-16 17:52:51;15,6;52,3
97;2022-05-16 17:57:51;15,5;52,3
98;2022-05-16 18:02:51;15,4;52,5
99;2022-05-16 18:07:51;15,3;52,7
100;2022-05-16 18:12:51;15,1;52,9
101;2022-05-16 18:17:51;15;53,2
102;2022-05-16 18:22:51;14,8;53,4
103;2022-05-16 18:27:51;14,7;53,8
104;2022-05-16 18:32:51;14,5;54
105;2022-05-16 18:37:51;14,5;54,4
106;2022-05-16 18:42:51;14,4;54,6
107;2022-05-16 18:47:51;14,4;54,8
108;2022-05-16 18:52:51;14,3;55
109;2022-05-16 18:57:51;14,2;55,1
110;2022-05-16 19:02:51;14,2;55,2
111;2022-05-16 19:07:51;14,1;55,3
112;2022-05-16 19:12:51;14;55,4
113;2022-05-16 19:17:51;14;55,6
114;2022-05-16 19:22:51;13,9;55,7
115;2022-05-16 19:27:51;13,8;55,8
116;2022-05-16 19:32:51;13,7;56
117;2022-05-16 19:37:51;13,7;56,1
118;2022-05-16 19:42:51;13,6;56,3
119;2022-05-16 19:47:51;13,5;56,5
120;2022-05-16 19:52:51;13,5;56,7
121;2022-05-16 19:57:51;13,5;56,8
122;2022-05-16 20:02:51;13,5;56,9
123;2022-05-16 20:07:51;13,4;57
124;2022-05-16 20:12:51;13,4;57,1
125;2022-05-16 20:17:51;13,4;57,3
126;2022-05-16 20:22:51;13,4;57,2
127;2022-05-16 20:27:51;13,4;57,3
128;2022-05-16 20:32:51;13,3;57,3
129;2022-05-16 20:37:51;13,3;57,4
130;2022-05-16 20:42:51;13,3;57,4
131;2022-05-16 20:47:51;13,2;57,4
132;2022-05-16 20:52:51;13,2;57,6
133;2022-05-16 20:57:51;13,1;57,6
134;2022-05-16 21:02:51;13,1;57,7
135;2022-05-16 21:07:51;13,1;57,7
136;2022-05-16 21:12:51;13;57,8
137;2022-05-16 21:17:51;13;57,9
138;2022-05-16 21:22:51;12,9;58
139;2022-05-16 21:27:51;12,9;58,1
140;2022-05-16 21:32:51;12,8;58,2
141;2022-05-16 21:37:51;12,8;58,2
142;2022-05-16 21:42:51;12,7;58,3
143;2022-05-16 21:47:51;12,7;58,3
144;2022-05-16 21:52:51;12,7;58,4
145;2022-05-16 21:57:51;12,6;58,5
146;2022-05-16 22:02:51;12,6;58,5
147;2022-05-16 22:07:51;12,5;58,5
148;2022-05-16 22:12:51;12,4;58,7
149;2022-05-16 22:17:51;12,4;58,7
150;2022-05-16 22:22:51;12,4;58,7
151;2022-05-16 22:27:51;12,3;58,8
152;2022-05-16 22:32:51;12,3;58,8
153;2022-05-16 22:37:51;12,2;58,8
154;2022-05-16 22:42:51;12,2;58,9
155;2022-05-16 22:47:51;12,2;59
