Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit
65;10-02-2021;10:59:20;14,4;T1 KTemp C;15,4;T2 KTemp C;14,1;T3 KTemp C;14,6;T4 KTemp C
67;10-02-2021;11:00:20;13,6;T1 KTemp C;15;T2 KTemp C;13,5;T3 KTemp C;13,9;T4 KTemp C
69;10-02-2021;11:01:20;12,8;T1 KTemp C;10,3;T2 KTemp C;11;T3 KTemp C;11,1;T4 KTemp C
71;10-02-2021;11:02:20;11,8;T1 KTemp C;8,7;T2 KTemp C;6,4;T3 KTemp C;9,4;T4 KTemp C
73;10-02-2021;11:03:20;10,2;T1 KTemp C;5,6;T2 KTemp C;2,3;T3 KTemp C;6,5;T4 KTemp C
75;10-02-2021;11:04:20;7,7;T1 KTemp C;1,9;T2 KTemp C;0,4;T3 KTemp C;3,4;T4 KTemp C
77;10-02-2021;11:05:20;6,4;T1 KTemp C;0,8;T2 KTemp C;0;T3 KTemp C;1,9;T4 KTemp C
79;10-02-2021;11:06:20;5,6;T1 KTemp C;0,4;T2 KTemp C;-0,2;T3 KTemp C;1,2;T4 KTemp C
81;10-02-2021;11:07:20;5,1;T1 KTemp C;0,1;T2 KTemp C;-0,2;T3 KTemp C;0,8;T4 KTemp C
83;10-02-2021;11:08:20;4,7;T1 KTemp C;0,1;T2 KTemp C;-0,2;T3 KTemp C;0,6;T4 KTemp C
85;10-02-2021;11:09:20;4,4;T1 KTemp C;0;T2 KTemp C;-0,2;T3 KTemp C;0,5;T4 KTemp C
87;10-02-2021;11:10:20;4,2;T1 KTemp C;0;T2 KTemp C;-0,1;T3 KTemp C;0,5;T4 KTemp C
89;10-02-2021;11:11:20;4;T1 KTemp C;0;T2 KTemp C;-0,1;T3 KTemp C;0,4;T4 KTemp C
91;10-02-2021;11:12:20;3,8;T1 KTemp C;0;T2 KTemp C;-0,1;T3 KTemp C;0,4;T4 KTemp C
93;10-02-2021;11:13:20;3,6;T1 KTemp C;0;T2 KTemp C;-0,1;T3 KTemp C;0,4;T4 KTemp C
95;10-02-2021;11:14:20;3,5;T1 KTemp C;-0,1;T2 KTemp C;-0,1;T3 KTemp C;0,3;T4 KTemp C
97;10-02-2021;11:15:20;3,4;T1 KTemp C;-0,1;T2 KTemp C;-0,2;T3 KTemp C;0,3;T4 KTemp C
99;10-02-2021;11:16:20;3,2;T1 KTemp C;-0,1;T2 KTemp C;-0,2;T3 KTemp C;0,3;T4 KTemp C
101;10-02-2021;11:17:20;3,2;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
103;10-02-2021;11:18:20;3,1;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
105;10-02-2021;11:19:20;3,1;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
107;10-02-2021;11:20:20;3;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
109;10-02-2021;11:21:20;2,8;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
111;10-02-2021;11:22:20;2,6;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,1;T4 KTemp C
113;10-02-2021;11:23:20;2,2;T1 KTemp C;-0,3;T2 KTemp C;-0,3;T3 KTemp C;0,1;T4 KTemp C
115;10-02-2021;11:24:20;1,7;T1 KTemp C;-0,3;T2 KTemp C;-0,2;T3 KTemp C;0,1;T4 KTemp C
117;10-02-2021;11:25:20;1,2;T1 KTemp C;-0,3;T2 KTemp C;-0,2;T3 KTemp C;0,1;T4 KTemp C
119;10-02-2021;11:26:20;0,6;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
121;10-02-2021;11:27:20;0,2;T1 KTemp C;-0,2;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
123;10-02-2021;11:28:20;-0,2;T1 KTemp C;-0,3;T2 KTemp C;-0,2;T3 KTemp C;0,3;T4 KTemp C
125;10-02-2021;11:29:20;-0,7;T1 KTemp C;-0,3;T2 KTemp C;-0,2;T3 KTemp C;0,2;T4 KTemp C
127;10-02-2021;11:30:20;-0,7;T1 KTemp C;-0,4;T2 KTemp C;-0,2;T3 KTemp C;0,1;T4 KTemp C
129;10-02-2021;11:31:20;-0,7;T1 KTemp C;-0,4;T2 KTemp C;-0,3;T3 KTemp C;0;T4 KTemp C
131;10-02-2021;11:32:20;-0,8;T1 KTemp C;-0,5;T2 KTemp C;-0,4;T3 KTemp C;-0,3;T4 KTemp C
133;10-02-2021;11:33:20;-5,4;T1 KTemp C;-0,6;T2 KTemp C;-0,5;T3 KTemp C;-0,5;T4 KTemp C
135;10-02-2021;11:34:20;-6,9;T1 KTemp C;-0,7;T2 KTemp C;-0,5;T3 KTemp C;-0,6;T4 KTemp C
137;10-02-2021;11:35:20;-8,8;T1 KTemp C;-0,8;T2 KTemp C;-0,6;T3 KTemp C;-0,8;T4 KTemp C
