RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;7212101010;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2678;;
Temperature Maximum;24,5°C;;
Temperature Minimum;11,4°C;;
Temperature Average;16°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;70%RH;;
Humidity Minimum;37,4%RH;;
Humidity Average;59,9%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-23 10:18:46;;
End Time;2022-05-02 17:23:46;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-04-23 10:18:46;19,9;46,4
2;2022-04-23 10:23:46;19,5;47,3
3;2022-04-23 10:28:46;19,4;46,4
4;2022-04-23 10:33:46;19,3;46,2
5;2022-04-23 10:38:46;19,3;47,1
6;2022-04-23 10:43:46;19;52,2
7;2022-04-23 10:48:46;18,3;49,5
8;2022-04-23 10:53:46;17,6;51
9;2022-04-23 10:58:46;17,2;52,2
10;2022-04-23 11:03:46;17;53
11;2022-04-23 11:08:46;16,9;53,5
12;2022-04-23 11:13:46;16,9;53,8
13;2022-04-23 11:18:46;16,9;54,1
14;2022-04-23 11:23:46;16,9;54,5
15;2022-04-23 11:28:46;17;54,4
16;2022-04-23 11:33:46;17,1;54,5
17;2022-04-23 11:38:46;17,1;54,5
18;2022-04-23 11:43:46;17,2;54,5
19;2022-04-23 11:48:46;17,3;54,6
20;2022-04-23 11:53:46;17,3;54,6
21;2022-04-23 11:58:46;17,4;54,6
22;2022-04-23 12:03:46;17,5;54,7
23;2022-04-23 12:08:46;17,5;54,6
24;2022-04-23 12:13:46;17,6;54,5
25;2022-04-23 12:18:46;17,6;54,5
26;2022-04-23 12:23:46;17,7;54,4
27;2022-04-23 12:28:46;17,8;54,4
28;2022-04-23 12:33:46;17,8;54,3
29;2022-04-23 12:38:46;17,8;54,3
30;2022-04-23 12:43:46;17,9;54,1
31;2022-04-23 12:48:46;17,9;54,1
