Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;24-12-2020;16:59:12;-012.6;T1 KTemp C;-022.9;T2 KTemp C;-012.5;T3 KTemp C;-010.3;T4 KTemp C
2;24-12-2020;16:59:40;-012.9;T1 KTemp C;-023.2;T2 KTemp C;-012.6;T3 KTemp C;-011.0;T4 KTemp C
2;24-12-2020;17:03:30;-016.1;T1 KTemp C;-024.8;T2 KTemp C;-014.5;T3 KTemp C;-014.7;T4 KTemp C
3;24-12-2020;17:04:00;-016.9;T1 KTemp C;-025.0;T2 KTemp C;-014.8;T3 KTemp C;-015.4;T4 KTemp C
4;24-12-2020;17:04:30;-018.2;T1 KTemp C;-025.3;T2 KTemp C;-015.2;T3 KTemp C;-015.8;T4 KTemp C
5;24-12-2020;17:05:00;-017.7;T1 KTemp C;-025.5;T2 KTemp C;-015.4;T3 KTemp C;-016.2;T4 KTemp C
6;24-12-2020;17:05:30;-018.7;T1 KTemp C;-025.7;T2 KTemp C;-015.8;T3 KTemp C;-016.5;T4 KTemp C
7;24-12-2020;17:06:00;-018.3;T1 KTemp C;-025.8;T2 KTemp C;-016.0;T3 KTemp C;-016.9;T4 KTemp C
8;24-12-2020;17:06:30;-018.7;T1 KTemp C;-026.0;T2 KTemp C;-016.4;T3 KTemp C;-017.3;T4 KTemp C
9;24-12-2020;17:07:00;-018.9;T1 KTemp C;-026.2;T2 KTemp C;-016.7;T3 KTemp C;-017.7;T4 KTemp C
10;24-12-2020;17:07:30;-019.2;T1 KTemp C;-026.4;T2 KTemp C;-017.0;T3 KTemp C;-018.0;T4 KTemp C
11;24-12-2020;17:08:00;-019.3;T1 KTemp C;-026.6;T2 KTemp C;-017.4;T3 KTemp C;-018.3;T4 KTemp C
12;24-12-2020;17:08:30;-020.4;T1 KTemp C;-026.8;T2 KTemp C;-017.7;T3 KTemp C;-018.7;T4 KTemp C
13;24-12-2020;17:09:00;-019.2;T1 KTemp C;-027.0;T2 KTemp C;-018.1;T3 KTemp C;-018.9;T4 KTemp C
14;24-12-2020;17:09:30;-021.3;T1 KTemp C;-027.2;T2 KTemp C;-018.3;T3 KTemp C;-019.1;T4 KTemp C
15;24-12-2020;17:10:00;-020.6;T1 KTemp C;-027.4;T2 KTemp C;-018.6;T3 KTemp C;-019.6;T4 KTemp C
16;24-12-2020;17:10:30;-021.0;T1 KTemp C;-027.6;T2 KTemp C;-018.9;T3 KTemp C;-019.8;T4 KTemp C
17;24-12-2020;17:11:00;-021.3;T1 KTemp C;-027.9;T2 KTemp C;-019.3;T3 KTemp C;-020.2;T4 KTemp C
18;24-12-2020;17:11:30;-021.5;T1 KTemp C;-028.1;T2 KTemp C;-019.7;T3 KTemp C;-020.5;T4 KTemp C
19;24-12-2020;17:12:00;-022.4;T1 KTemp C;-028.4;T2 KTemp C;-020.1;T3 KTemp C;-020.8;T4 KTemp C
20;24-12-2020;17:12:30;-021.5;T1 KTemp C;-028.6;T2 KTemp C;-020.3;T3 KTemp C;-021.0;T4 KTemp C
21;24-12-2020;17:13:00;-022.7;T1 KTemp C;-028.9;T2 KTemp C;-020.7;T3 KTemp C;-021.4;T4 KTemp C
22;24-12-2020;17:13:30;-022.7;T1 KTemp C;-029.1;T2 KTemp C;-021.0;T3 KTemp C;-021.7;T4 KTemp C
23;24-12-2020;17:14:00;-022.8;T1 KTemp C;-029.4;T2 KTemp C;-021.3;T3 KTemp C;-021.7;T4 KTemp C
24;24-12-2020;17:14:30;-023.7;T1 KTemp C;-029.5;T2 KTemp C;-021.6;T3 KTemp C;-021.9;T4 KTemp C
25;24-12-2020;17:15:00;-023.8;T1 KTemp C;-029.9;T2 KTemp C;-021.9;T3 KTemp C;-022.2;T4 KTemp C
26;24-12-2020;17:15:30;-023.1;T1 KTemp C;-030.1;T2 KTemp C;-022.3;T3 KTemp C;-022.5;T4 KTemp C
27;24-12-2020;17:16:00;-023.4;T1 KTemp C;-030.2;T2 KTemp C;-022.5;T3 KTemp C;-022.5;T4 KTemp C
28;24-12-2020;17:16:30;-022.7;T1 KTemp C;-030.6;T2 KTemp C;-022.9;T3 KTemp C;-022.8;T4 KTemp C
29;24-12-2020;17:17:00;-023.7;T1 KTemp C;-030.8;T2 KTemp C;-023.2;T3 KTemp C;-023.3;T4 KTemp C
30;24-12-2020;17:17:30;-023.2;T1 KTemp C;-031.0;T2 KTemp C;-023.5;T3 KTemp C;-023.4;T4 KTemp C
31;24-12-2020;17:18:00;-025.0;T1 KTemp C;-031.4;T2 KTemp C;-023.9;T3 KTemp C;-023.7;T4 KTemp C
32;24-12-2020;17:18:30;-024.2;T1 KTemp C;-031.6;T2 KTemp C;-024.1;T3 KTemp C;-024.0;T4 KTemp C
33;24-12-2020;17:19:00;-024.7;T1 KTemp C;-031.9;T2 KTemp C;-024.5;T3 KTemp C;-023.9;T4 KTemp C
