Place;Date;Time;Value;Unit;Value;Unit;Value;Unit;Value;Unit
1;22-01-2021;7:00:45;;;;;;;;
3;23-01-2021;8:00:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
5;23-01-2021;8:01:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
7;23-01-2021;8:02:45;20,1;T1 KTemp C;18,9;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
9;23-01-2021;8:03:45;20,1;T1 KTemp C;18,9;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
11;23-01-2021;8:04:45;20,1;T1 KTemp C;18,9;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
13;23-01-2021;8:05:45;20,1;T1 KTemp C;18,9;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
15;23-01-2021;8:06:45;20,1;T1 KTemp C;18,9;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
17;23-01-2021;8:07:45;20,1;T1 KTemp C;18,9;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
19;23-01-2021;8:08:45;20,1;T1 KTemp C;18,9;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
21;23-01-2021;8:09:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
23;23-01-2021;8:10:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,3;T4 KTemp C
25;23-01-2021;8:11:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
27;23-01-2021;8:12:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,3;T4 KTemp C
29;23-01-2021;8:13:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
31;23-01-2021;8:14:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,3;T4 KTemp C
33;23-01-2021;8:15:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
35;23-01-2021;8:16:45;20,1;T1 KTemp C;19;T2 KTemp C;19;T3 KTemp C;19,2;T4 KTemp C
37;23-01-2021;8:17:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
39;23-01-2021;8:18:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
41;23-01-2021;8:19:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
43;23-01-2021;8:20:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
45;23-01-2021;8:21:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
47;23-01-2021;8:22:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
49;23-01-2021;8:23:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
51;23-01-2021;8:24:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
53;23-01-2021;8:25:45;20,1;T1 KTemp C;19;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
55;23-01-2021;8:26:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
57;23-01-2021;8:27:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
59;23-01-2021;8:28:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
61;23-01-2021;8:29:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
63;23-01-2021;8:30:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,2;T3 KTemp C;19,3;T4 KTemp C
65;23-01-2021;8:31:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,1;T3 KTemp C;19,4;T4 KTemp C
67;23-01-2021;8:32:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,1;T3 KTemp C;19,4;T4 KTemp C
69;23-01-2021;8:33:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,2;T3 KTemp C;19,3;T4 KTemp C
71;23-01-2021;8:34:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
73;23-01-2021;8:35:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
75;23-01-2021;8:36:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
77;23-01-2021;8:37:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
79;23-01-2021;8:38:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
81;23-01-2021;8:39:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
83;23-01-2021;8:40:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
85;23-01-2021;8:41:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
87;23-01-2021;8:42:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
89;23-01-2021;8:43:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,2;T3 KTemp C;19,3;T4 KTemp C
91;23-01-2021;8:44:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,3;T4 KTemp C
93;23-01-2021;8:45:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
95;23-01-2021;8:46:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
97;23-01-2021;8:47:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
99;23-01-2021;8:48:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
101;23-01-2021;8:49:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
103;23-01-2021;8:50:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
105;23-01-2021;8:51:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,3;T4 KTemp C
107;23-01-2021;8:52:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
109;23-01-2021;8:53:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,3;T4 KTemp C
111;23-01-2021;8:54:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
113;23-01-2021;8:55:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,3;T4 KTemp C
115;23-01-2021;8:56:45;20,1;T1 KTemp C;19,2;T2 KTemp C;19,2;T3 KTemp C;19,4;T4 KTemp C
117;23-01-2021;8:57:45;20,1;T1 KTemp C;19,1;T2 KTemp C;19,1;T3 KTemp C;19,3;T4 KTemp C
119;23-01-2021;8:58:45;20,1;T1 KTemp C;17,9;T2 KTemp C;18;T3 KTemp C;19,3;T4 KTemp C
121;23-01-2021;8:59:45;20,1;T1 KTemp C;14,1;T2 KTemp C;15,2;T3 KTemp C;19,1;T4 KTemp C
123;23-01-2021;9:00:45;20,2;T1 KTemp C;9,7;T2 KTemp C;11,7;T3 KTemp C;18,5;T4 KTemp C
125;23-01-2021;9:01:45;20,2;T1 KTemp C;6;T2 KTemp C;7,5;T3 KTemp C;17,7;T4 KTemp C
127;23-01-2021;9:02:45;20,2;T1 KTemp C;3,1;T2 KTemp C;2,4;T3 KTemp C;17,1;T4 KTemp C
129;23-01-2021;9:03:45;20,2;T1 KTemp C;0;T2 KTemp C;-0,8;T3 KTemp C;16,5;T4 KTemp C
131;23-01-2021;9:04:45;20,2;T1 KTemp C;-2,1;T2 KTemp C;-3,4;T3 KTemp C;15,5;T4 KTemp C
133;23-01-2021;9:05:45;20,2;T1 KTemp C;-4,3;T2 KTemp C;-6,1;T3 KTemp C;14,9;T4 KTemp C
135;23-01-2021;9:06:45;20,2;T1 KTemp C;-6,3;T2 KTemp C;-7,8;T3 KTemp C;14,3;T4 KTemp C
137;23-01-2021;9:07:45;20,2;T1 KTemp C;-7,7;T2 KTemp C;-8,9;T3 KTemp C;13,7;T4 KTemp C
139;23-01-2021;9:08:45;20,2;T1 KTemp C;-9,1;T2 KTemp C;-11;T3 KTemp C;12,4;T4 KTemp C
141;23-01-2021;9:09:45;20,2;T1 KTemp C;-9,7;T2 KTemp C;-11;T3 KTemp C;11,2;T4 KTemp C
143;23-01-2021;9:10:45;20,2;T1 KTemp C;-10,9;T2 KTemp C;-12,4;T3 KTemp C;10;T4 KTemp C
