RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;V515;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2193;;
Temperature Maximum;23,5°C;;
Temperature Minimum;11,1°C;;
Temperature Average;15,8°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,2%RH;;
Humidity Minimum;38,7%RH;;
Humidity Average;58,6%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;09-05-2022 9:37;;
End Time;17-05-2022 0:17;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-09 09:37:48;18,4;50,6
2;2022-05-09 09:42:48;20,2;49,8
3;2022-05-09 09:47:48;20,9;52,3
4;2022-05-09 09:52:48;21,9;52
5;2022-05-09 09:57:48;20;47,8
6;2022-05-09 10:02:48;17,1;50
7;2022-05-09 10:07:48;15,7;52,3
8;2022-05-09 10:12:48;14,8;54,6
9;2022-05-09 10:17:48;14,2;56
10;2022-05-09 10:22:48;14;56,9
11;2022-05-09 10:27:48;13,9;57,4
12;2022-05-09 10:32:48;13,8;57,8
13;2022-05-09 10:37:48;13,8;58,3
14;2022-05-09 10:42:48;13,8;58,8
15;2022-05-09 10:47:48;13,8;59,2
16;2022-05-09 10:52:48;13,8;59,2
17;2022-05-09 10:57:48;13,9;59,7
18;2022-05-09 11:02:48;13,9;59,7
19;2022-05-09 11:07:48;13,9;59,7
20;2022-05-09 11:12:48;14;59,7
21;2022-05-09 11:17:48;14;60,2
22;2022-05-09 11:22:48;14,1;60,2
23;2022-05-09 11:27:48;14,1;60,2
24;2022-05-09 11:32:48;14,2;60,2
25;2022-05-09 11:37:48;14,3;59,8
26;2022-05-09 11:42:48;14,4;59,8
27;2022-05-09 11:47:48;14,4;59,8
28;2022-05-09 11:52:48;14,5;59,8
29;2022-05-09 11:57:48;14,6;59,8
30;2022-05-09 12:02:48;14,6;59,8
31;2022-05-09 12:07:48;14,7;59,8
32;2022-05-09 12:12:48;14,7;59,4
33;2022-05-09 12:17:48;14,8;59,4
34;2022-05-09 12:22:48;14,9;59,4
35;2022-05-09 12:27:48;14,9;59,4
36;2022-05-09 12:32:48;15;59,4
37;2022-05-09 12:37:48;15,1;59
38;2022-05-09 12:42:48;15,1;59
39;2022-05-09 12:47:48;15,2;59
40;2022-05-09 12:52:48;15,2;59
41;2022-05-09 12:57:48;15,3;59
42;2022-05-09 13:02:48;15,4;58,5
43;2022-05-09 13:07:48;15,4;58,5
44;2022-05-09 13:12:48;15,4;58,5
45;2022-05-09 13:17:48;15,5;58,6
46;2022-05-09 13:22:48;15,6;58,1
47;2022-05-09 13:27:48;15,6;58,1
48;2022-05-09 13:32:48;15,7;58,1
49;2022-05-09 13:37:48;15,7;58,1
50;2022-05-09 13:42:48;15,8;57,6
51;2022-05-09 13:47:48;15,9;57,6
52;2022-05-09 13:52:48;15,9;57,7
53;2022-05-09 13:57:48;16;57,2
54;2022-05-09 14:02:48;16;57,2
55;2022-05-09 14:07:48;16;57,2
56;2022-05-09 14:12:48;16,1;57,2
57;2022-05-09 14:17:48;16,1;57,2
58;2022-05-09 14:22:48;16,2;57,2
59;2022-05-09 14:27:48;16,2;56,7
60;2022-05-09 14:32:48;16,3;56,8
61;2022-05-09 14:37:48;16,4;56,8
62;2022-05-09 14:42:48;16,4;56,8
63;2022-05-09 14:47:48;16,5;56,3
64;2022-05-09 14:52:48;16,5;56,3
65;2022-05-09 14:57:48;16,6;56,3
66;2022-05-09 15:02:48;16,6;56,3
67;2022-05-09 15:07:48;16,7;56,3
68;2022-05-09 15:12:48;16,7;55,8
69;2022-05-09 15:17:48;16,7;55,9
70;2022-05-09 15:22:48;16,8;55,9
71;2022-05-09 15:27:48;16,8;55,9
72;2022-05-09 15:32:48;16,9;55,4
73;2022-05-09 15:37:48;16,9;55,4
74;2022-05-09 15:42:48;17;55,4
75;2022-05-09 15:47:48;17;55,9
76;2022-05-09 15:52:48;17,1;55,4
77;2022-05-09 15:57:48;17,1;55,9
78;2022-05-09 16:02:48;17,2;55,9
79;2022-05-09 16:07:48;17,2;55,9
80;2022-05-09 16:12:48;17,2;55,9
81;2022-05-09 16:17:48;17,2;55,4
82;2022-05-09 16:22:48;17,3;55,4
83;2022-05-09 16:27:48;17,3;55,4
84;2022-05-09 16:32:48;17,3;55,4
85;2022-05-09 16:37:48;17,4;55,4
86;2022-05-09 16:42:48;17,4;55,4
87;2022-05-09 16:47:48;17,4;55
88;2022-05-09 16:52:48;17,4;55,4
89;2022-05-09 16:57:48;17,4;55,5
90;2022-05-09 17:02:48;17,4;55,5
91;2022-05-09 17:07:48;17,4;55,9
92;2022-05-09 17:12:48;17,4;55,9
93;2022-05-09 17:17:48;17,4;55,5
94;2022-05-09 17:22:48;17,4;55,5
95;2022-05-09 17:27:48;17,4;55,5
96;2022-05-09 17:32:48;17,4;55,9
97;2022-05-09 17:37:48;17,4;55,9
98;2022-05-09 17:42:48;17,4;56,4
99;2022-05-09 17:47:48;17,4;56,4
100;2022-05-09 17:52:48;17,4;56,4
101;2022-05-09 17:57:48;17,4;56,4
102;2022-05-09 18:02:48;17,4;56,9
103;2022-05-09 18:07:48;17,4;56,9
104;2022-05-09 18:12:48;17,4;57,4
105;2022-05-09 18:17:48;17,3;56,9
106;2022-05-09 18:22:48;17,3;56,9
107;2022-05-09 18:27:48;17,2;56,9
108;2022-05-09 18:32:48;17,2;57,4
109;2022-05-09 18:37:48;17,1;57,4
110;2022-05-09 18:42:48;17,1;57,3
111;2022-05-09 18:47:48;17;57,3
112;2022-05-09 18:52:48;16,9;57,8
113;2022-05-09 18:57:48;16,9;57,8
114;2022-05-09 19:02:48;16,8;58,3
115;2022-05-09 19:07:48;16,7;58,3
116;2022-05-09 19:12:48;16,7;58,3
117;2022-05-09 19:17:48;16,7;58,2
118;2022-05-09 19:22:48;16,6;58,2
119;2022-05-09 19:27:48;16,6;58,7
120;2022-05-09 19:32:48;16,5;58,7
121;2022-05-09 19:37:48;16,5;58,7
122;2022-05-09 19:42:48;16,4;59,2
123;2022-05-09 19:47:48;16,4;59,2
124;2022-05-09 19:52:48;16,4;59,2
125;2022-05-09 19:57:48;16,3;59,2
126;2022-05-09 20:02:48;16,3;59,6
127;2022-05-09 20:07:48;16,2;59,6
128;2022-05-09 20:12:48;16,2;59,6
129;2022-05-09 20:17:48;16,2;60,1
130;2022-05-09 20:22:48;16,1;60,1
131;2022-05-09 20:27:48;16,1;60,1
132;2022-05-09 20:32:48;16,1;60,1
133;2022-05-09 20:37:48;16;60,1
134;2022-05-09 20:42:48;16;60,5
135;2022-05-09 20:47:48;16;60,5
136;2022-05-09 20:52:48;16;60,5
137;2022-05-09 20:57:48;15,9;60,5
138;2022-05-09 21:02:48;15,9;60,5
139;2022-05-09 21:07:48;15,9;60,5
