RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;7203H00008;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3840;;
Temperature Maximum;25,2°C;;
Temperature Minimum;11,7°C;;
Temperature Average;16,4°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,1%RH;;
Humidity Minimum;41,5%RH;;
Humidity Average;55,2%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;15-05-2022 14:26;;
End Time;28-05-2022 22:21;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-15 14:26:51;21,5;50,5
2;2022-05-15 14:31:51;21,6;51
3;2022-05-15 14:36:51;21,5;51
4;2022-05-15 14:41:51;21,5;51
5;2022-05-15 14:46:51;21,5;51
6;2022-05-15 14:51:51;21,4;51
7;2022-05-15 14:56:51;21,3;51
8;2022-05-15 15:01:51;21,3;51
9;2022-05-15 15:06:51;21,2;51
10;2022-05-15 15:11:51;21,2;50,5
11;2022-05-15 15:16:51;21,1;50,5
12;2022-05-15 15:21:51;21,1;50,5
13;2022-05-15 15:26:51;21;50,5
14;2022-05-15 15:31:51;21;50,4
15;2022-05-15 15:36:51;20,9;50,4
16;2022-05-15 15:41:51;20,9;50,4
17;2022-05-15 15:46:51;20,9;50,4
18;2022-05-15 15:51:51;20,9;50,4
19;2022-05-15 15:56:51;20,8;50,4
20;2022-05-15 16:01:51;20,7;50,4
21;2022-05-15 16:06:51;20,7;50,4
22;2022-05-15 16:11:51;20,6;50,4
23;2022-05-15 16:16:51;20,6;50,4
24;2022-05-15 16:21:51;20,5;50,4
25;2022-05-15 16:26:51;20,5;50,4
26;2022-05-15 16:31:51;20,5;50,4
27;2022-05-15 16:36:51;20,4;50,4
28;2022-05-15 16:41:51;20,4;50,4
29;2022-05-15 16:46:51;20,3;50,4
30;2022-05-15 16:51:51;20,3;50,4
31;2022-05-15 16:56:51;20,3;50,3
32;2022-05-15 17:01:51;20,3;50,3
33;2022-05-15 17:06:51;20,3;50,3
34;2022-05-15 17:11:51;20,2;50,3
35;2022-05-15 17:16:51;20,2;50,3
36;2022-05-15 17:21:51;20,2;50,8
37;2022-05-15 17:26:51;20,1;50,3
38;2022-05-15 17:31:51;20,1;50,3
39;2022-05-15 17:36:51;20,1;50,3
40;2022-05-15 17:41:51;20;50,3
41;2022-05-15 17:46:51;20;50,3
42;2022-05-15 17:51:51;20;50,3
43;2022-05-15 17:56:51;20;50,3
44;2022-05-15 18:01:51;19,9;50,3
45;2022-05-15 18:06:51;19,9;50,8
46;2022-05-15 18:11:51;19,9;50,3
47;2022-05-15 18:16:51;19,9;50,8
48;2022-05-15 18:21:51;19,8;50,3
49;2022-05-15 18:26:51;19,8;50,3
50;2022-05-15 18:31:51;19,8;50,8
51;2022-05-15 18:36:51;19,8;50,3
52;2022-05-15 18:41:51;19,8;50,8
53;2022-05-15 18:46:51;19,8;50,8
54;2022-05-15 18:51:51;19,8;50,8
55;2022-05-15 18:56:51;19,8;50,8
56;2022-05-15 19:01:51;19,8;50,3
57;2022-05-15 19:06:51;19,8;50,8
58;2022-05-15 19:11:51;19,7;50,8
59;2022-05-15 19:16:51;19,7;50,8
60;2022-05-15 19:21:51;19,7;50,8
61;2022-05-15 19:26:51;19,7;50,8
62;2022-05-15 19:31:51;19,7;50,8
63;2022-05-15 19:36:51;19,7;50,8
64;2022-05-15 19:41:51;19,7;50,8
65;2022-05-15 19:46:51;19,6;50,8
66;2022-05-15 19:51:51;19,6;50,8
67;2022-05-15 19:56:51;19,6;50,8
68;2022-05-15 20:01:51;19,6;50,8
69;2022-05-15 20:06:51;19,6;50,8
70;2022-05-15 20:11:51;19,6;50,8
71;2022-05-15 20:16:51;19,6;50,8
72;2022-05-15 20:21:51;19,6;50,8
73;2022-05-15 20:26:51;19,6;50,8
74;2022-05-15 20:31:51;19,5;50,8
75;2022-05-15 20:36:51;19,5;50,7
76;2022-05-15 20:41:51;19,5;50,8
77;2022-05-15 20:46:51;19,5;50,7
78;2022-05-15 20:51:51;19,5;50,7
79;2022-05-15 20:56:51;19,5;50,7
80;2022-05-15 21:01:51;19,5;50,7
81;2022-05-15 21:06:51;19,5;50,7
82;2022-05-15 21:11:51;19,5;50,7
83;2022-05-15 21:16:51;19,4;50,7
84;2022-05-15 21:21:51;19,4;50,7
85;2022-05-15 21:26:51;19,4;50,7
86;2022-05-15 21:31:51;19,4;50,7
87;2022-05-15 21:36:51;19,4;50,7
88;2022-05-15 21:41:51;19,4;50,7
89;2022-05-15 21:46:51;19,4;50,7
90;2022-05-15 21:51:51;19,4;50,7
91;2022-05-15 21:56:51;19,3;50,7
92;2022-05-15 22:01:51;19,3;50,7
93;2022-05-15 22:06:51;19,3;50,7
94;2022-05-15 22:11:51;19,3;50,7
95;2022-05-15 22:16:51;19,3;50,7
96;2022-05-15 22:21:51;19,3;50,7
97;2022-05-15 22:26:51;19,3;50,7
98;2022-05-15 22:31:51;19,3;50,7
99;2022-05-15 22:36:51;19,3;50,7
100;2022-05-15 22:41:51;19,3;50,7
101;2022-05-15 22:46:51;19,3;50,7
102;2022-05-15 22:51:51;19,3;50,7
103;2022-05-15 22:56:51;19,3;50,7
104;2022-05-15 23:01:51;19,2;50,7
105;2022-05-15 23:06:51;19,2;50,7
106;2022-05-15 23:11:51;19,2;50,7
107;2022-05-15 23:16:51;19,2;50,7
108;2022-05-15 23:21:51;19,2;50,7
109;2022-05-15 23:26:51;19,2;50,7
110;2022-05-15 23:31:51;19,2;50,7
111;2022-05-15 23:36:51;19,2;50,7
112;2022-05-15 23:41:51;19,2;50,7
113;2022-05-15 23:46:51;19,2;50,7
114;2022-05-15 23:51:51;19,2;50,7
115;2022-05-15 23:56:51;19,2;50,7
116;2022-05-16 00:01:51;19,2;50,7
117;2022-05-16 00:06:51;19,2;50,7
118;2022-05-16 00:11:51;19,2;50,7
119;2022-05-16 00:16:51;19,2;50,7
120;2022-05-16 00:21:51;19,1;50,7
121;2022-05-16 00:26:51;19,1;50,7
122;2022-05-16 00:31:51;19,1;50,7
123;2022-05-16 00:36:51;19,1;50,7
124;2022-05-16 00:41:51;19,1;50,7
125;2022-05-16 00:46:51;19,1;50,7
126;2022-05-16 00:51:51;19,1;50,7
127;2022-05-16 00:56:51;19,1;50,7
128;2022-05-16 01:01:51;19,1;50,7
129;2022-05-16 01:06:51;19;50,7
130;2022-05-16 01:11:51;19;50,7
131;2022-05-16 01:16:51;19;50,7
132;2022-05-16 01:21:51;19;50,7
133;2022-05-16 01:26:51;19;50,7
134;2022-05-16 01:31:51;19;50,7
135;2022-05-16 01:36:51;19;50,7
136;2022-05-16 01:41:51;19;50,7
137;2022-05-16 01:46:51;19;50,7
138;2022-05-16 01:51:51;18,9;50,7
139;2022-05-16 01:56:51;18,9;50,7
140;2022-05-16 02:01:51;18,9;50,7
141;2022-05-16 02:06:51;18,9;50,2
142;2022-05-16 02:11:51;18,9;50,7
143;2022-05-16 02:16:51;18,9;50,7
144;2022-05-16 02:21:51;18,9;50,7
145;2022-05-16 02:26:51;18,9;50,7
146;2022-05-16 02:31:51;18,9;50,7
147;2022-05-16 02:36:51;18,9;50,7
148;2022-05-16 02:41:51;18,8;50,7
149;2022-05-16 02:46:51;18,8;50,7
150;2022-05-16 02:51:51;18,8;50,1
151;2022-05-16 02:56:51;18,8;50,6
152;2022-05-16 03:01:51;18,8;50,6
153;2022-05-16 03:06:51;18,8;50,6
154;2022-05-16 03:11:51;18,8;50,6
155;2022-05-16 03:16:51;18,8;50,6
156;2022-05-16 03:21:51;18,8;50,6
157;2022-05-16 03:26:51;18,7;50,6
158;2022-05-16 03:31:51;18,7;50,6
159;2022-05-16 03:36:51;18,7;50,6
160;2022-05-16 03:41:51;18,7;50,6
161;2022-05-16 03:46:51;18,7;50,6
162;2022-05-16 03:51:51;18,7;50,6
163;2022-05-16 03:56:51;18,7;50,6
164;2022-05-16 04:01:51;18,7;50,6
165;2022-05-16 04:06:51;18,7;50,6
166;2022-05-16 04:11:51;18,6;50,6
167;2022-05-16 04:16:51;18,6;50,1
168;2022-05-16 04:21:51;18,6;50,6
169;2022-05-16 04:26:51;18,6;50,6
170;2022-05-16 04:31:51;18,6;50,1
171;2022-05-16 04:36:51;18,6;50,6
172;2022-05-16 04:41:51;18,6;50,6
173;2022-05-16 04:46:51;18,6;50,6
174;2022-05-16 04:51:51;18,6;50,6
175;2022-05-16 04:56:51;18,6;50,6
176;2022-05-16 05:01:51;18,6;50,6
177;2022-05-16 05:06:51;18,6;50,6
178;2022-05-16 05:11:51;18,6;50,1
179;2022-05-16 05:16:51;18,6;50,6
180;2022-05-16 05:21:51;18,6;50,6
181;2022-05-16 05:26:51;18,6;50,1
182;2022-05-16 05:31:51;18,5;50,6
183;2022-05-16 05:36:51;18,5;50,6
184;2022-05-16 05:41:51;18,5;50,6
185;2022-05-16 05:46:51;18,5;50,1
186;2022-05-16 05:51:51;18,5;50,1
187;2022-05-16 05:56:51;18,5;50,1
188;2022-05-16 06:01:51;18,5;50,1
189;2022-05-16 06:06:51;18,5;50,6
190;2022-05-16 06:11:51;18,5;50,1
191;2022-05-16 06:16:51;18,5;50,1
192;2022-05-16 06:21:51;18,4;50,6
193;2022-05-16 06:26:51;18,4;50,1
194;2022-05-16 06:31:51;18,4;50,6
195;2022-05-16 06:36:51;18,4;50,1
196;2022-05-16 06:41:51;18,4;50,1
197;2022-05-16 06:46:51;18,4;50,6
198;2022-05-16 06:51:51;18,4;50,1
199;2022-05-16 06:56:51;18,4;50,1
200;2022-05-16 07:01:51;18,4;50,1
201;2022-05-16 07:06:51;18,4;50,6
202;2022-05-16 07:11:51;18,3;50,6
203;2022-05-16 07:16:51;18,2;50,6
204;2022-05-16 07:21:51;18,1;50,6
205;2022-05-16 07:26:51;18,1;50,5
206;2022-05-16 07:31:51;18,1;50,5
207;2022-05-16 07:36:51;18,1;50,5
208;2022-05-16 07:41:51;18,1;50,6
209;2022-05-16 07:46:51;18,1;50,6
210;2022-05-16 07:51:51;18,1;50,6
211;2022-05-16 07:56:51;18,1;50,6
212;2022-05-16 08:01:51;18,2;50,6
213;2022-05-16 08:06:51;18,2;50,6
214;2022-05-16 08:11:51;18,2;50,6
215;2022-05-16 08:16:51;18,2;50,6
216;2022-05-16 08:21:51;18,2;50,6
217;2022-05-16 08:26:51;18,3;50,6
218;2022-05-16 08:31:51;18,3;50,6
219;2022-05-16 08:36:51;18,3;50,6
220;2022-05-16 08:41:51;18,3;50,6
221;2022-05-16 08:46:51;18,3;50,6
222;2022-05-16 08:51:51;18,4;50,6
223;2022-05-16 08:56:51;18,4;50,6
224;2022-05-16 09:01:51;18,4;50,6
225;2022-05-16 09:06:51;18,5;50,6
226;2022-05-16 09:11:51;18,5;50,6
227;2022-05-16 09:16:51;18,5;50,6
228;2022-05-16 09:21:51;18,5;50,6
229;2022-05-16 09:26:51;18,3;50,6
230;2022-05-16 09:31:51;18,2;50,6
231;2022-05-16 09:36:51;18,2;50,6
232;2022-05-16 09:41:51;18,1;50,6
233;2022-05-16 09:46:51;17,9;46,5
234;2022-05-16 09:51:51;17,3;47,4
235;2022-05-16 09:56:51;18,6;46,6
236;2022-05-16 10:01:51;18,7;47,6
237;2022-05-16 10:06:51;18,5;46,1
238;2022-05-16 10:11:51;18,7;49,2
239;2022-05-16 10:16:51;19,1;48,7
240;2022-05-16 10:21:51;19,4;47,2
241;2022-05-16 10:26:51;19,8;49,3
242;2022-05-16 10:31:51;19,9;41,5
243;2022-05-16 10:36:51;17,5;43,3
244;2022-05-16 10:41:51;16,2;44,2
245;2022-05-16 10:46:51;15,6;44,7
246;2022-05-16 10:51:51;15,3;45,1
247;2022-05-16 10:56:51;15,1;45,6
248;2022-05-16 11:01:51;15;45,6
249;2022-05-16 11:06:51;14,9;46,1
250;2022-05-16 11:11:51;14,9;46,1
251;2022-05-16 11:16:51;15;46,1
252;2022-05-16 11:21:51;15;45,6
253;2022-05-16 11:26:51;15,1;45,6
254;2022-05-16 11:31:51;15,1;45,6
255;2022-05-16 11:36:51;15,2;45,6
256;2022-05-16 11:41:51;15,2;45,6
257;2022-05-16 11:46:51;15,3;45,6
258;2022-05-16 11:51:51;15,4;45,7
259;2022-05-16 11:56:51;15,4;46,2
260;2022-05-16 12:01:51;15,4;46,2
261;2022-05-16 12:06:51;15,5;46,2
262;2022-05-16 12:11:51;15,5;46,2
263;2022-05-16 12:16:51;15,6;46,2
264;2022-05-16 12:21:51;15,7;46,2
265;2022-05-16 12:26:51;15,7;46,2
266;2022-05-16 12:31:51;15,8;46,2
267;2022-05-16 12:36:51;15,9;46,2
268;2022-05-16 12:41:51;15,9;46,2
269;2022-05-16 12:46:51;16;46,2
270;2022-05-16 12:51:51;16;46,2
271;2022-05-16 12:56:51;16;46,2
272;2022-05-16 13:01:51;16,1;46,3
273;2022-05-16 13:06:51;16,1;46,3
274;2022-05-16 13:11:51;16,2;46,3
275;2022-05-16 13:16:51;16,2;46,3
276;2022-05-16 13:21:51;16,3;46,3
277;2022-05-16 13:26:51;16,3;46,8
278;2022-05-16 13:31:51;16,3;46,8
279;2022-05-16 13:36:51;16,4;46,8
280;2022-05-16 13:41:51;16,4;47,3
281;2022-05-16 13:46:51;16,5;46,8
282;2022-05-16 13:51:51;16,5;47,3
283;2022-05-16 13:56:51;16,6;47,3
284;2022-05-16 14:01:51;16,6;47,3
285;2022-05-16 14:06:51;16,7;47,3
286;2022-05-16 14:11:51;16,7;47,3
287;2022-05-16 14:16:51;16,7;47,4
288;2022-05-16 14:21:51;16,8;47,4
289;2022-05-16 14:26:51;16,8;47,4
290;2022-05-16 14:31:51;16,9;47,4
291;2022-05-16 14:36:51;16,9;47,4
292;2022-05-16 14:41:51;17;47,4
293;2022-05-16 14:46:51;17,1;47,4
294;2022-05-16 14:51:51;17,1;47,4
295;2022-05-16 14:56:51;17,1;47,4
296;2022-05-16 15:01:51;17,2;47,4
297;2022-05-16 15:06:51;17,2;47,9
298;2022-05-16 15:11:51;17,3;47,9
299;2022-05-16 15:16:51;17,6;47,5
300;2022-05-16 15:21:51;17,5;48
301;2022-05-16 15:26:51;17,4;47,9
302;2022-05-16 15:31:51;17,4;47,9
303;2022-05-16 15:36:51;17,4;48,5
304;2022-05-16 15:41:51;17,4;48,4
305;2022-05-16 15:46:51;17,4;48,4
306;2022-05-16 15:51:51;17,4;48,5
307;2022-05-16 15:56:51;17,4;48,5
308;2022-05-16 16:01:51;17,4;48,5
309;2022-05-16 16:06:51;17,4;48,4
310;2022-05-16 16:11:51;17,4;48,4
311;2022-05-16 16:16:51;17,4;48,4
312;2022-05-16 16:21:51;17,4;48,4
313;2022-05-16 16:26:51;17,4;48,4
314;2022-05-16 16:31:51;17,4;48,4
315;2022-05-16 16:36:51;17,4;48,4
316;2022-05-16 16:41:51;17,3;48,4
317;2022-05-16 16:46:51;17,3;48,4
318;2022-05-16 16:51:51;17,3;48,4
319;2022-05-16 16:56:51;17,3;48,4
320;2022-05-16 17:01:51;17,3;48,4
321;2022-05-16 17:06:51;17,2;48,4
322;2022-05-16 17:11:51;17,2;48,4
323;2022-05-16 17:16:51;17,2;48,4
324;2022-05-16 17:21:51;17,2;48,9
325;2022-05-16 17:26:51;17,1;48,9
326;2022-05-16 17:31:51;17,1;48,9
327;2022-05-16 17:36:51;17;49,4
328;2022-05-16 17:41:51;17;49,4
329;2022-05-16 17:46:51;16,9;49,4
330;2022-05-16 17:51:51;16,8;49,4
331;2022-05-16 17:56:51;16,8;49,4
332;2022-05-16 18:01:51;16,7;49,9
333;2022-05-16 18:06:51;16,7;49,9
334;2022-05-16 18:11:51;16,6;49,9
335;2022-05-16 18:16:51;16,5;50,3
336;2022-05-16 18:21:51;16,5;50,3
337;2022-05-16 18:26:51;16,4;50,3
338;2022-05-16 18:31:51;16,3;50,3
339;2022-05-16 18:36:51;16,3;50,3
340;2022-05-16 18:41:51;16,2;50,8
341;2022-05-16 18:46:51;16,1;50,8
342;2022-05-16 18:51:51;16,1;50,8
343;2022-05-16 18:56:51;16;50,8
344;2022-05-16 19:01:51;16;51,3
345;2022-05-16 19:06:51;16;51,3
346;2022-05-16 19:11:51;15,9;51,3
347;2022-05-16 19:16:51;15,9;51,2
348;2022-05-16 19:21:51;15,8;51,2
349;2022-05-16 19:26:51;15,8;51,2
350;2022-05-16 19:31:51;15,7;51,2
351;2022-05-16 19:36:51;15,7;51,2
352;2022-05-16 19:41:51;15,6;51,2
353;2022-05-16 19:46:51;15,6;51,7
354;2022-05-16 19:51:51;15,5;51,7
355;2022-05-16 19:56:51;15,5;51,7
356;2022-05-16 20:01:51;15,5;51,7
357;2022-05-16 20:06:51;15,4;52,2
358;2022-05-16 20:11:51;15,4;52,2
359;2022-05-16 20:16:51;15,4;52,2
360;2022-05-16 20:21:51;15,4;52,2
361;2022-05-16 20:26:51;15,4;52,2
362;2022-05-16 20:31:51;15,3;52,2
363;2022-05-16 20:36:51;15,3;52,2
364;2022-05-16 20:41:51;15,3;52,2
365;2022-05-16 20:46:51;15,2;52,6
366;2022-05-16 20:51:51;15,2;52,6
367;2022-05-16 20:56:51;15,2;52,6
368;2022-05-16 21:01:51;15,1;52,6
369;2022-05-16 21:06:51;15,1;52,6
370;2022-05-16 21:11:51;15,1;53,1
371;2022-05-16 21:16:51;15;53,1
372;2022-05-16 21:21:51;15;53,1
373;2022-05-16 21:26:51;15;53,1
374;2022-05-16 21:31:51;14,9;53,1
375;2022-05-16 21:36:51;14,9;53,1
376;2022-05-16 21:41:51;14,9;53,1
377;2022-05-16 21:46:51;14,8;53,1
378;2022-05-16 21:51:51;14,8;53,1
379;2022-05-16 21:56:51;14,7;53,1
380;2022-05-16 22:01:51;14,7;53,1
381;2022-05-16 22:06:51;14,7;53
382;2022-05-16 22:11:51;14,7;53
383;2022-05-16 22:16:51;14,6;53
384;2022-05-16 22:21:51;14,6;53
385;2022-05-16 22:26:51;14,6;53
386;2022-05-16 22:31:51;14,5;53
387;2022-05-16 22:36:51;14,5;53
388;2022-05-16 22:41:51;14,5;53
389;2022-05-16 22:46:51;14,4;53
390;2022-05-16 22:51:51;14,4;53
391;2022-05-16 22:56:51;14,4;53,5
392;2022-05-16 23:01:51;14,3;53,5
393;2022-05-16 23:06:51;14,2;53,5
394;2022-05-16 23:11:51;14,2;53,5
395;2022-05-16 23:16:51;14,2;53,5
396;2022-05-16 23:21:51;14,2;53,5
397;2022-05-16 23:26:51;14,1;53,5
398;2022-05-16 23:31:51;14,1;53,5
399;2022-05-16 23:36:51;14,1;53,4
400;2022-05-16 23:41:51;14,1;53,4
401;2022-05-16 23:46:51;14;53,4
402;2022-05-16 23:51:51;14;53,9
403;2022-05-16 23:56:51;14;53,4
404;2022-05-17 00:01:51;14;53,4
405;2022-05-17 00:06:51;14;53,9
406;2022-05-17 00:11:51;14;53,9
407;2022-05-17 00:16:51;13,9;53,4
408;2022-05-17 00:21:51;13,9;53,9
409;2022-05-17 00:26:51;13,9;53,9
410;2022-05-17 00:31:51;13,9;53,9
411;2022-05-17 00:36:51;13,8;53,9
412;2022-05-17 00:41:51;13,8;53,9
413;2022-05-17 00:46:51;13,8;53,9
414;2022-05-17 00:51:51;13,7;53,9
415;2022-05-17 00:56:51;13,7;53,9
416;2022-05-17 01:01:51;13,7;53,9
417;2022-05-17 01:06:51;13,7;53,4
418;2022-05-17 01:11:51;13,6;53,4
419;2022-05-17 01:16:51;13,6;53,4
420;2022-05-17 01:21:51;13,5;53,4
421;2022-05-17 01:26:51;13,5;53,4
422;2022-05-17 01:31:51;13,5;53,4
423;2022-05-17 01:36:51;13,4;53,4
424;2022-05-17 01:41:51;13,4;53,4
425;2022-05-17 01:46:51;13,4;53,4
426;2022-05-17 01:51:51;13,4;53,3
427;2022-05-17 01:56:51;13,4;53,3
428;2022-05-17 02:01:51;13,4;53,3
429;2022-05-17 02:06:51;13,4;53,3
430;2022-05-17 02:11:51;13,3;52,9
431;2022-05-17 02:16:51;13,3;52,9
432;2022-05-17 02:21:51;13,3;52,8
433;2022-05-17 02:26:51;13,2;52,8
434;2022-05-17 02:31:51;13,2;52,8
435;2022-05-17 02:36:51;13,2;52,8
436;2022-05-17 02:41:51;13,2;52,8
437;2022-05-17 02:46:51;13,1;52,8
438;2022-05-17 02:51:51;13,1;52,8
439;2022-05-17 02:56:51;13,1;52,8
440;2022-05-17 03:01:51;13;52,8
441;2022-05-17 03:06:51;13;52,3
442;2022-05-17 03:11:51;12,9;52,3
443;2022-05-17 03:16:51;12,9;52,3
444;2022-05-17 03:21:51;12,9;52,3
445;2022-05-17 03:26:51;12,8;52,3
446;2022-05-17 03:31:51;12,8;52,3
447;2022-05-17 03:36:51;12,7;52,3
448;2022-05-17 03:41:51;12,7;52,3
449;2022-05-17 03:46:51;12,7;52,3
450;2022-05-17 03:51:51;12,7;51,8
451;2022-05-17 03:56:51;12,7;52,3
452;2022-05-17 04:01:51;12,7;51,8
453;2022-05-17 04:06:51;12,7;51,8
454;2022-05-17 04:11:51;12,7;51,8
455;2022-05-17 04:16:51;12,6;51,8
456;2022-05-17 04:21:51;12,6;51,8
457;2022-05-17 04:26:51;12,6;51,8
458;2022-05-17 04:31:51;12,6;51,8
459;2022-05-17 04:36:51;12,6;51,8
460;2022-05-17 04:41:51;12,5;51,8
461;2022-05-17 04:46:51;12,5;51,8
462;2022-05-17 04:51:51;12,5;51,8
463;2022-05-17 04:56:51;12,5;51,8
464;2022-05-17 05:01:51;12,5;51,8
465;2022-05-17 05:06:51;12,4;51,8
466;2022-05-17 05:11:51;12,4;51,8
467;2022-05-17 05:16:51;12,4;51,7
468;2022-05-17 05:21:51;12,4;51,7
469;2022-05-17 05:26:51;12,4;51,7
470;2022-05-17 05:31:51;12,4;51,7
471;2022-05-17 05:36:51;12,3;51,7
472;2022-05-17 05:41:51;12,3;51,7
473;2022-05-17 05:46:51;12,3;51,7
474;2022-05-17 05:51:51;12,3;51,7
475;2022-05-17 05:56:51;12,3;51,7
476;2022-05-17 06:01:51;12,3;51,7
477;2022-05-17 06:06:51;12,2;52,2
478;2022-05-17 06:11:51;12,2;51,7
479;2022-05-17 06:16:51;12,2;52,2
480;2022-05-17 06:21:51;12,2;51,7
481;2022-05-17 06:26:51;12,2;51,7
482;2022-05-17 06:31:51;12,1;52,2
483;2022-05-17 06:36:51;12,1;52,2
484;2022-05-17 06:41:51;12,1;52,2
485;2022-05-17 06:46:51;12,1;51,7
486;2022-05-17 06:51:51;12,1;52,2
487;2022-05-17 06:56:51;12;52,2
488;2022-05-17 07:01:51;12;52,2
489;2022-05-17 07:06:51;12;52,2
490;2022-05-17 07:11:51;12;52,2
491;2022-05-17 07:16:51;12;51,7
492;2022-05-17 07:21:51;12;51,7
493;2022-05-17 07:26:51;12;51,7
494;2022-05-17 07:31:51;12;51,7
495;2022-05-17 07:36:51;12;51,7
496;2022-05-17 07:41:51;12;51,7
497;2022-05-17 07:46:51;12;52,2
498;2022-05-17 07:51:51;12;51,7
499;2022-05-17 07:56:51;12;51,7
500;2022-05-17 08:01:51;11,9;52,2
501;2022-05-17 08:06:51;11,9;52,2
502;2022-05-17 08:11:51;11,9;52,2
503;2022-05-17 08:16:51;12;52,2
504;2022-05-17 08:21:51;12;52,2
505;2022-05-17 08:26:51;12;52,2
506;2022-05-17 08:31:51;12;52,2
507;2022-05-17 08:36:51;12;52,2
508;2022-05-17 08:41:51;12,1;52,2
509;2022-05-17 08:46:51;12,2;52,2
510;2022-05-17 08:51:51;12,2;52,2
511;2022-05-17 08:56:51;12,3;52,2
512;2022-05-17 09:01:51;12,3;52,7
513;2022-05-17 09:06:51;12,4;52,7
514;2022-05-17 09:11:51;12,5;52,7
515;2022-05-17 09:16:51;12,6;52,7
