Informe de datos;;;;;
Archivo creado el:2022-05-28 19:02:17;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:32:27
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V775;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2106;;MKT;21,1;
Primera lectura;2022-05-21 11:32:27;;Última lectura;2022-05-28 18:57:27;
Máximo(Temperatura);26,6°C;;Mínimo(Temperatura);17,7°C;
Promedio(Temperatura);21,0°C;;Tiempo de grabación;7D 7H 25M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,4%;;Mínimo(Humedad);54,3%;
Promedio(Humedad);69,2%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:27;24,1;59,3;;
2;2022-05-21 11:37:27;23,2;63;;
3;2022-05-21 11:42:27;22,4;64,7;;
4;2022-05-21 11:47:27;22;65,6;;
5;2022-05-21 11:52:27;21,5;66,4;;
6;2022-05-21 11:57:27;21,2;66,8;;
7;2022-05-21 12:02:27;21;67,7;;
8;2022-05-21 12:07:27;20,8;68,1;;
9;2022-05-21 12:12:27;20,6;68,5;;
10;2022-05-21 12:17:27;20,5;69;;
11;2022-05-21 12:22:27;20,4;69,4;;
12;2022-05-21 12:27:27;20,4;69,4;;
13;2022-05-21 12:32:27;20,5;70,3;;
14;2022-05-21 12:37:27;21;70,4;;
15;2022-05-21 12:42:27;21,3;70;;
16;2022-05-21 12:47:27;21,5;69,1;;
17;2022-05-21 12:52:27;21,5;69,1;;
18;2022-05-21 12:57:27;24,4;66,5;;
19;2022-05-21 13:02:27;22,9;66,2;;
20;2022-05-21 13:07:27;22,4;66,6;;
21;2022-05-21 13:12:27;22,3;66,5;;
22;2022-05-21 13:17:27;22,3;66,6;;
23;2022-05-21 13:22:27;22,4;67;;
24;2022-05-21 13:27:27;22,5;67;;
25;2022-05-21 13:32:27;22,6;67,1;;
26;2022-05-21 13:37:27;22,7;67,1;;
27;2022-05-21 13:42:27;22,8;66,6;;
28;2022-05-21 13:47:27;22,8;66,2;;
29;2022-05-21 13:52:27;22,8;66,6;;
30;2022-05-21 13:57:27;22,7;67,1;;
31;2022-05-21 14:02:27;22,7;67,5;;
32;2022-05-21 14:07:27;22,7;67,5;;
33;2022-05-21 14:12:27;22,7;67,5;;
34;2022-05-21 14:17:27;22,6;67,5;;
35;2022-05-21 14:22:27;22,6;68;;
36;2022-05-21 14:27:27;22,5;68,9;;
37;2022-05-21 14:32:27;22,4;67,9;;
38;2022-05-21 14:37:27;22,3;67,9;;
39;2022-05-21 14:42:27;22,2;67,9;;
40;2022-05-21 14:47:27;22,2;67,5;;
41;2022-05-21 14:52:27;22,2;67,5;;
42;2022-05-21 14:57:27;22,2;67,9;;
43;2022-05-21 15:02:27;22,2;67,9;;
44;2022-05-21 15:07:27;22,2;67,4;;
45;2022-05-21 15:12:27;22,2;67,4;;
46;2022-05-21 15:17:27;22,2;67,4;;
47;2022-05-21 15:22:27;22,2;67,4;;
