Informe de datos;;;;;
Archivo creado el:2022-05-28 18:58:06;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:33:43
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V794;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2105;;MKT;20,9;
Primera lectura;2022-05-21 11:33:43;;Última lectura;2022-05-28 18:53:43;
Máximo(Temperatura);26,1°C;;Mínimo(Temperatura);17,7°C;
Promedio(Temperatura);20,8°C;;Tiempo de grabación;7D 7H 20M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);78,7%;;Mínimo(Humedad);55,3%;
Promedio(Humedad);69,0%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:33:43;23,9;59,3;;
2;2022-05-21 11:38:43;22,9;62;;
3;2022-05-21 11:43:43;22,1;63,8;;
4;2022-05-21 11:48:43;21,5;64,6;;
5;2022-05-21 11:53:43;21,1;66;;
6;2022-05-21 11:58:43;20,8;66,4;;
7;2022-05-21 12:03:43;20,6;66,8;;
8;2022-05-21 12:08:43;20,5;67,7;;
9;2022-05-21 12:13:43;20,3;68,1;;
10;2022-05-21 12:18:43;20,3;68,1;;
11;2022-05-21 12:23:43;20,3;68,5;;
12;2022-05-21 12:28:43;20,2;68,5;;
13;2022-05-21 12:33:43;20,2;69;;
14;2022-05-21 12:38:43;20,2;69;;
15;2022-05-21 12:43:43;20,2;69,4;;
16;2022-05-21 12:48:43;20,1;69,4;;
17;2022-05-21 12:53:43;20,1;69,4;;
18;2022-05-21 12:58:43;20,1;69,9;;
19;2022-05-21 13:03:43;20,1;69,9;;
20;2022-05-21 13:08:43;24,3;75,3;;
21;2022-05-21 13:13:43;25;65,2;;
22;2022-05-21 13:18:43;23,5;64,5;;
23;2022-05-21 13:23:43;22,9;65,4;;
24;2022-05-21 13:28:43;22,7;66,3;;
25;2022-05-21 13:33:43;22,6;66,2;;
26;2022-05-21 13:38:43;22,6;66,7;;
27;2022-05-21 13:43:43;22,6;66,2;;
28;2022-05-21 13:48:43;22,6;66,2;;
29;2022-05-21 13:53:43;22,5;66,7;;
30;2022-05-21 13:58:43;22,4;66,7;;
31;2022-05-21 14:03:43;22,4;67,1;;
32;2022-05-21 14:08:43;22,4;67,1;;
33;2022-05-21 14:13:43;22,4;67,6;;
34;2022-05-21 14:18:43;22,3;67,1;;
35;2022-05-21 14:23:43;22,3;68;;
36;2022-05-21 14:28:43;22,2;68,5;;
37;2022-05-21 14:33:43;22,2;68;;
38;2022-05-21 14:38:43;22,1;68;;
39;2022-05-21 14:43:43;22;68;;
40;2022-05-21 14:48:43;22;67,5;;
41;2022-05-21 14:53:43;22;67,5;;
42;2022-05-21 14:58:43;21,9;67,9;;
43;2022-05-21 15:03:43;21,9;67,9;;
44;2022-05-21 15:08:43;21,9;67,5;;
45;2022-05-21 15:13:43;21,9;67,5;;
46;2022-05-21 15:18:43;21,9;67,5;;
47;2022-05-21 15:23:43;21,9;67,5;;
