RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V308;;
Number;00v308;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3621;;
Temperature Maximum;24,8°C;;
Temperature Minimum;11,8°C;;
Temperature Average;16,2°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;69,3%RH;;
Humidity Minimum;41,7%RH;;
Humidity Average;56,1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:51;;
End Time;28/5/2022 23:31;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:51:15;17,9;47,4
2;2022-05-16 09:56:15;20,3;50,6
3;2022-05-16 10:01:15;21,6;53,4
4;2022-05-16 10:06:15;21,6;49,6
5;2022-05-16 10:11:15;21,2;50,4
6;2022-05-16 10:16:15;21,3;50,5
7;2022-05-16 10:21:15;21,4;48,7
8;2022-05-16 10:26:15;20,9;43,4
9;2022-05-16 10:31:15;20,3;45,6
10;2022-05-16 10:36:15;18,3;41,7
11;2022-05-16 10:41:15;16,7;42,7
12;2022-05-16 10:46:15;16;43,4
13;2022-05-16 10:51:15;15,5;43,9
14;2022-05-16 10:56:15;15,4;44,3
15;2022-05-16 11:01:15;15,2;44,9
16;2022-05-16 11:06:15;15,1;45,1
17;2022-05-16 11:11:15;15,1;45,2
18;2022-05-16 11:16:15;15,1;45,2
19;2022-05-16 11:21:15;15,1;45,3
20;2022-05-16 11:26:15;15,2;45,3
21;2022-05-16 11:31:15;15,2;45,2
22;2022-05-16 11:36:15;15,3;45,3
23;2022-05-16 11:41:15;15,3;45,6
24;2022-05-16 11:46:15;15,4;45,6
25;2022-05-16 11:51:15;15,4;45,6
26;2022-05-16 11:56:15;15,4;45,4
27;2022-05-16 12:01:15;15,5;45,6
28;2022-05-16 12:06:15;15,5;45,7
29;2022-05-16 12:11:15;15,6;45,7
30;2022-05-16 12:16:15;15,7;45,7
31;2022-05-16 12:21:15;15,7;45,9
32;2022-05-16 12:26:15;15,8;45,7
33;2022-05-16 12:31:15;15,8;45,8
34;2022-05-16 12:36:15;15,9;45,7
35;2022-05-16 12:41:15;15,9;45,9
36;2022-05-16 12:46:15;16;45,9
37;2022-05-16 12:51:15;16;46,1
38;2022-05-16 12:56:15;16;46,2
39;2022-05-16 13:01:15;16,1;46,2
40;2022-05-16 13:06:15;16,1;46,4
41;2022-05-16 13:11:15;16,2;46,6
42;2022-05-16 13:16:15;16,2;46,8
43;2022-05-16 13:21:15;16,2;46,9
44;2022-05-16 13:26:15;16,3;47
45;2022-05-16 13:31:15;16,3;47,1
46;2022-05-16 13:36:15;16,4;47,2
47;2022-05-16 13:41:15;16,5;47,1
48;2022-05-16 13:46:15;16,5;47,2
49;2022-05-16 13:51:15;16,6;47,1
50;2022-05-16 13:56:15;16,6;47,2
51;2022-05-16 14:01:15;16,6;47,3
52;2022-05-16 14:06:15;16,7;47,3
53;2022-05-16 14:11:15;16,7;47,3
54;2022-05-16 14:16:15;16,7;47,4
55;2022-05-16 14:21:15;16,7;47,5
56;2022-05-16 14:26:15;16,8;47,5
57;2022-05-16 14:31:15;16,9;47,4
58;2022-05-16 14:36:15;16,9;47,1
59;2022-05-16 14:41:15;17;47,3
60;2022-05-16 14:46:15;17;47,5
61;2022-05-16 14:51:15;17;47,7
62;2022-05-16 14:56:15;17,1;48,1
63;2022-05-16 15:01:15;17,1;48,2
64;2022-05-16 15:06:15;17,1;48,3
65;2022-05-16 15:11:15;17,2;48,5
66;2022-05-16 15:16:15;17,2;48,5
67;2022-05-16 15:21:15;17,2;48,7
68;2022-05-16 15:26:15;17,3;48,7
69;2022-05-16 15:31:15;17,3;48,7
70;2022-05-16 15:36:15;17,3;48,6
71;2022-05-16 15:41:15;17,3;48,6
72;2022-05-16 15:46:15;17,3;48,6
73;2022-05-16 15:51:15;17,4;48,6
74;2022-05-16 15:56:15;17,4;48,4
75;2022-05-16 16:01:15;17,4;48,4
76;2022-05-16 16:06:15;17,4;48,4
77;2022-05-16 16:11:15;17,4;48,4
78;2022-05-16 16:16:15;17,4;48,3
79;2022-05-16 16:21:15;17,4;48,4
80;2022-05-16 16:26:15;17,4;48,4
81;2022-05-16 16:31:15;17,4;48,4
82;2022-05-16 16:36:15;17,3;48,5
83;2022-05-16 16:41:15;17,3;48,5
84;2022-05-16 16:46:15;17,3;48,5
85;2022-05-16 16:51:15;17,3;48,5
86;2022-05-16 16:56:15;17,3;48,6
87;2022-05-16 17:01:15;17,3;48,5
88;2022-05-16 17:06:15;17,3;48,5
89;2022-05-16 17:11:15;17,3;48,5
90;2022-05-16 17:16:15;17,2;48,6
91;2022-05-16 17:21:15;17,2;48,7
92;2022-05-16 17:26:15;17,1;48,9
93;2022-05-16 17:31:15;17;49
94;2022-05-16 17:36:15;17;49,2
95;2022-05-16 17:41:15;16,9;49,3
96;2022-05-16 17:46:15;16,9;49,5
97;2022-05-16 17:51:15;16,8;49,5
98;2022-05-16 17:56:15;16,7;49,7
99;2022-05-16 18:01:15;16,7;49,8
100;2022-05-16 18:06:15;16,6;49,9
101;2022-05-16 18:11:15;16,5;50,1
102;2022-05-16 18:16:15;16,5;50,2
103;2022-05-16 18:21:15;16,4;50,3
104;2022-05-16 18:26:15;16,4;50,4
105;2022-05-16 18:31:15;16,3;50,5
106;2022-05-16 18:36:15;16,2;50,6
107;2022-05-16 18:41:15;16,2;50,7
108;2022-05-16 18:46:15;16,1;50,8
109;2022-05-16 18:51:15;16;50,9
110;2022-05-16 18:56:15;16;51
111;2022-05-16 19:01:15;16;51,1
112;2022-05-16 19:06:15;15,9;51,2
113;2022-05-16 19:11:15;15,9;51,3
114;2022-05-16 19:16:15;15,8;51,3
115;2022-05-16 19:21:15;15,7;51,4
116;2022-05-16 19:26:15;15,7;51,4
117;2022-05-16 19:31:15;15,6;51,5
118;2022-05-16 19:36:15;15,6;51,6
119;2022-05-16 19:41:15;15,6;51,6
120;2022-05-16 19:46:15;15,5;51,6
121;2022-05-16 19:51:15;15,5;51,8
122;2022-05-16 19:56:15;15,4;51,8
123;2022-05-16 20:01:15;15,4;51,9
124;2022-05-16 20:06:15;15,4;51,9
125;2022-05-16 20:11:15;15,4;52
126;2022-05-16 20:16:15;15,4;52
127;2022-05-16 20:21:15;15,4;52,1
128;2022-05-16 20:26:15;15,3;52,2
129;2022-05-16 20:31:15;15,3;52,3
130;2022-05-16 20:36:15;15,3;52,3
131;2022-05-16 20:41:15;15,3;52,4
132;2022-05-16 20:46:15;15,2;52,5
133;2022-05-16 20:51:15;15,2;52,5
134;2022-05-16 20:56:15;15,1;52,6
135;2022-05-16 21:01:15;15,1;52,7
136;2022-05-16 21:06:15;15,1;52,8
137;2022-05-16 21:11:15;15;52,8
138;2022-05-16 21:16:15;15;52,8
139;2022-05-16 21:21:15;15;52,9
140;2022-05-16 21:26:15;14,9;52,9
141;2022-05-16 21:31:15;14,9;52,9
142;2022-05-16 21:36:15;14,8;53
143;2022-05-16 21:41:15;14,8;53
144;2022-05-16 21:46:15;14,8;53,1
145;2022-05-16 21:51:15;14,7;53,1
146;2022-05-16 21:56:15;14,7;53,1
147;2022-05-16 22:01:15;14,7;53,2
148;2022-05-16 22:06:15;14,7;53,2
149;2022-05-16 22:11:15;14,7;53,2
150;2022-05-16 22:16:15;14,6;53,2
151;2022-05-16 22:21:15;14,6;53,2
152;2022-05-16 22:26:15;14,6;53,2
153;2022-05-16 22:31:15;14,5;53,2
154;2022-05-16 22:36:15;14,5;53,2
155;2022-05-16 22:41:15;14,5;53,2
156;2022-05-16 22:46:15;14,4;53,1
157;2022-05-16 22:51:15;14,4;53,2
158;2022-05-16 22:56:15;14,4;53,2
159;2022-05-16 23:01:15;14,3;53,2
160;2022-05-16 23:06:15;14,3;53,2
161;2022-05-16 23:11:15;14,2;53,3
162;2022-05-16 23:16:15;14,2;53,3
163;2022-05-16 23:21:15;14,2;53,4
164;2022-05-16 23:26:15;14,1;53,4
165;2022-05-16 23:31:15;14,1;53,4
166;2022-05-16 23:36:15;14,1;53,4
167;2022-05-16 23:41:15;14;53,5
168;2022-05-16 23:46:15;14;53,5
169;2022-05-16 23:51:15;14;53,5
170;2022-05-16 23:56:15;14;53,5
171;2022-05-17 00:01:15;14;53,6
172;2022-05-17 00:06:15;14;53,6
173;2022-05-17 00:11:15;14;53,6
174;2022-05-17 00:16:15;14;53,6
175;2022-05-17 00:21:15;13,9;53,6
176;2022-05-17 00:26:15;13,9;53,6
177;2022-05-17 00:31:15;13,9;53,6
178;2022-05-17 00:36:15;13,9;53,6
179;2022-05-17 00:41:15;13,8;53,5
180;2022-05-17 00:46:15;13,8;53,6
181;2022-05-17 00:51:15;13,7;53,5
182;2022-05-17 00:56:15;13,7;53,5
183;2022-05-17 01:01:15;13,7;53,5
184;2022-05-17 01:06:15;13,7;53,5
185;2022-05-17 01:11:15;13,7;53,4
186;2022-05-17 01:16:15;13,6;53,3
187;2022-05-17 01:21:15;13,6;53,2
188;2022-05-17 01:26:15;13,6;53,2
189;2022-05-17 01:31:15;13,5;53,2
190;2022-05-17 01:36:15;13,5;53,2
191;2022-05-17 01:41:15;13,5;53,1
192;2022-05-17 01:46:15;13,5;53,1
193;2022-05-17 01:51:15;13,4;53,1
194;2022-05-17 01:56:15;13,4;53
195;2022-05-17 02:01:15;13,4;53
196;2022-05-17 02:06:15;13,4;53
197;2022-05-17 02:11:15;13,4;52,9
198;2022-05-17 02:16:15;13,4;52,8
199;2022-05-17 02:21:15;13,3;52,8
200;2022-05-17 02:26:15;13,3;52,7
201;2022-05-17 02:31:15;13,3;52,7
202;2022-05-17 02:36:15;13,2;52,6
203;2022-05-17 02:41:15;13,2;52,5
204;2022-05-17 02:46:15;13,2;52,4
205;2022-05-17 02:51:15;13,2;52,4
206;2022-05-17 02:56:15;13,1;52,3
207;2022-05-17 03:01:15;13,1;52,2
208;2022-05-17 03:06:15;13,1;52,1
209;2022-05-17 03:11:15;13,1;52
210;2022-05-17 03:16:15;13;51,9
211;2022-05-17 03:21:15;13;51,9
212;2022-05-17 03:26:15;13;51,8
213;2022-05-17 03:31:15;13;51,7
214;2022-05-17 03:36:15;12,9;51,7
215;2022-05-17 03:41:15;12,9;51,7
216;2022-05-17 03:46:15;12,8;51,7
217;2022-05-17 03:51:15;12,8;51,6
218;2022-05-17 03:56:15;12,8;51,6
219;2022-05-17 04:01:15;12,8;51,6
220;2022-05-17 04:06:15;12,7;51,6
221;2022-05-17 04:11:15;12,7;51,6
222;2022-05-17 04:16:15;12,7;51,6
223;2022-05-17 04:21:15;12,7;51,6
224;2022-05-17 04:26:15;12,7;51,6
225;2022-05-17 04:31:15;12,7;51,6
226;2022-05-17 04:36:15;12,7;51,5
227;2022-05-17 04:41:15;12,6;51,5
228;2022-05-17 04:46:15;12,6;51,5
229;2022-05-17 04:51:15;12,6;51,4
230;2022-05-17 04:56:15;12,6;51,3
231;2022-05-17 05:01:15;12,6;51,3
232;2022-05-17 05:06:15;12,6;51,3
233;2022-05-17 05:11:15;12,5;51,3
234;2022-05-17 05:16:15;12,5;51,3
235;2022-05-17 05:21:15;12,5;51,3
236;2022-05-17 05:26:15;12,5;51,3
237;2022-05-17 05:31:15;12,5;51,4
238;2022-05-17 05:36:15;12,5;51,4
239;2022-05-17 05:41:15;12,5;51,5
240;2022-05-17 05:46:15;12,4;51,5
241;2022-05-17 05:51:15;12,4;51,5
242;2022-05-17 05:56:15;12,4;51,5
243;2022-05-17 06:01:15;12,4;51,5
244;2022-05-17 06:06:15;12,4;51,6
245;2022-05-17 06:11:15;12,4;51,6
246;2022-05-17 06:16:15;12,4;51,6
247;2022-05-17 06:21:15;12,3;51,6
248;2022-05-17 06:26:15;12,3;51,5
249;2022-05-17 06:31:15;12,3;51,6
250;2022-05-17 06:36:15;12,3;51,5
251;2022-05-17 06:41:15;12,2;51,5
252;2022-05-17 06:46:15;12,2;51,5
253;2022-05-17 06:51:15;12,2;51,5
254;2022-05-17 06:56:15;12,2;51,5
255;2022-05-17 07:01:15;12,2;51,5
256;2022-05-17 07:06:15;12,2;51,5
257;2022-05-17 07:11:15;12,1;51,5
258;2022-05-17 07:16:15;12,1;51,5
259;2022-05-17 07:21:15;12,1;51,5
260;2022-05-17 07:26:15;12,1;51,5
261;2022-05-17 07:31:15;12,1;51,5
262;2022-05-17 07:36:15;12,1;51,5
263;2022-05-17 07:41:15;12;51,5
264;2022-05-17 07:46:15;12;51,5
265;2022-05-17 07:51:15;12;51,5
266;2022-05-17 07:56:15;12;51,5
267;2022-05-17 08:01:15;12;51,5
268;2022-05-17 08:06:15;12;51,5
269;2022-05-17 08:11:15;12;51,5
270;2022-05-17 08:16:15;12;51,5
271;2022-05-17 08:21:15;12;51,6
272;2022-05-17 08:26:15;12,1;51,6
273;2022-05-17 08:31:15;12,1;51,5
274;2022-05-17 08:36:15;12,1;51,4
275;2022-05-17 08:41:15;12,1;51,5
276;2022-05-17 08:46:15;12,2;51,5
277;2022-05-17 08:51:15;12,2;51,5
278;2022-05-17 08:56:15;12,3;51,6
279;2022-05-17 09:01:15;12,3;51,7
280;2022-05-17 09:06:15;12,4;51,8
281;2022-05-17 09:11:15;12,5;51,8
282;2022-05-17 09:16:15;12,5;52
283;2022-05-17 09:21:15;12,6;52
284;2022-05-17 09:26:15;12,7;52,1
285;2022-05-17 09:31:15;12,7;52,2
286;2022-05-17 09:36:15;12,8;52,1
287;2022-05-17 09:41:15;12,8;52,2
288;2022-05-17 09:46:15;12,9;52,3
289;2022-05-17 09:51:15;13;52,3
290;2022-05-17 09:56:15;13,1;52,4
291;2022-05-17 10:01:15;13,2;52,4
292;2022-05-17 10:06:15;13,2;52,4
293;2022-05-17 10:11:15;13,3;52,3
