Informe de datos;;;;;
Archivo creado el:2022-05-28 17:38:01;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:08:48
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V759;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2086;;MKT;19,6;
Primera lectura;2022-05-21 11:08:48;;Última lectura;2022-05-28 16:53:48;
Máximo(Temperatura);24,7°C;;Mínimo(Temperatura);17,9°C;
Promedio(Temperatura);19,6°C;;Tiempo de grabación;7D 5H 45M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,5%;;Mínimo(Humedad);59,3%;
Promedio(Humedad);73,1%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:08:48;24,7;60,4;;
2;2022-05-21 11:13:48;23,6;59,3;;
3;2022-05-21 11:18:48;22,2;61,9;;
4;2022-05-21 11:23:48;21,3;64,1;;
5;2022-05-21 11:28:48;20,8;65,9;;
6;2022-05-21 11:33:48;20,5;67,2;;
7;2022-05-21 11:38:48;20,3;68,1;;
8;2022-05-21 11:43:48;20,3;68,5;;
9;2022-05-21 11:48:48;20,2;69;;
10;2022-05-21 11:53:48;20,1;69,4;;
11;2022-05-21 11:58:48;20,1;69,8;;
12;2022-05-21 12:03:48;20,1;69,8;;
13;2022-05-21 12:08:48;20;70,3;;
14;2022-05-21 12:13:48;20;70,3;;
15;2022-05-21 12:18:48;20;70,3;;
16;2022-05-21 12:23:48;20;70,7;;
17;2022-05-21 12:28:48;20;70,7;;
18;2022-05-21 12:33:48;20;70,7;;
19;2022-05-21 12:38:48;20;70,7;;
20;2022-05-21 12:43:48;20;71,1;;
21;2022-05-21 12:48:48;20;71,1;;
22;2022-05-21 12:53:48;20;71,1;;
23;2022-05-21 12:58:48;20;71,6;;
24;2022-05-21 13:03:48;20;71,6;;
25;2022-05-21 13:08:48;20;72;;
26;2022-05-21 13:13:48;20;72;;
27;2022-05-21 13:18:48;20;72;;
28;2022-05-21 13:23:48;20,1;72;;
29;2022-05-21 13:28:48;20,1;72;;
30;2022-05-21 13:33:48;20,1;72;;
31;2022-05-21 13:38:48;20,1;72,5;;
32;2022-05-21 13:43:48;20,1;72,5;;
33;2022-05-21 13:48:48;20,1;72,5;;
34;2022-05-21 13:53:48;20,1;72,9;;
35;2022-05-21 13:58:48;20,1;72,9;;
36;2022-05-21 14:03:48;20,1;72,9;;
37;2022-05-21 14:08:48;20,1;72,9;;
38;2022-05-21 14:13:48;20,1;72,9;;
39;2022-05-21 14:18:48;20,1;73,4;;
40;2022-05-21 14:23:48;20,1;73,4;;
41;2022-05-21 14:28:48;20,1;73,4;;
42;2022-05-21 14:33:48;20,1;73,4;;
43;2022-05-21 14:38:48;20,1;73,8;;
44;2022-05-21 14:43:48;20,1;73,8;;
45;2022-05-21 14:48:48;20,2;73,8;;
46;2022-05-21 14:53:48;20,2;73,8;;
47;2022-05-21 14:58:48;20,1;73,8;;
48;2022-05-21 15:03:48;20,2;73,8;;
