RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;7201300515;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3626;;
Temperature Maximum;28,2°C;;
Temperature Minimum;12°C;;
Temperature Average;16,6°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;63%RH;;
Humidity Minimum;42,6%RH;;
Humidity Average;54,7%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16-05-2022 9:45;;
End Time;28-05-2022 23:50;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:45:16;18,5;48,7
2;2022-05-16 09:50:16;18,9;49,2
3;2022-05-16 09:55:16;19;49,7
4;2022-05-16 10:00:16;19,2;48,7
5;2022-05-16 10:05:16;19,2;47,7
6;2022-05-16 10:10:16;19,2;47,2
7;2022-05-16 10:15:16;19,3;47,2
8;2022-05-16 10:20:16;19,4;46,7
9;2022-05-16 10:25:16;19,6;45,7
10;2022-05-16 10:30:16;19,6;45,7
11;2022-05-16 10:35:16;19,7;45,2
12;2022-05-16 10:40:16;19,6;44,1
13;2022-05-16 10:45:16;19,4;43,6
14;2022-05-16 10:50:16;19,3;43,6
15;2022-05-16 10:55:16;19,2;43,6
16;2022-05-16 11:00:16;19,4;45,1
17;2022-05-16 11:05:16;19,6;45,7
18;2022-05-16 11:10:16;19,8;44,2
19;2022-05-16 11:15:16;19,7;43,6
20;2022-05-16 11:20:16;19,6;43,6
21;2022-05-16 11:25:16;19,5;43,6
22;2022-05-16 11:30:16;19,5;51,3
23;2022-05-16 11:35:16;19,6;49,3
24;2022-05-16 11:40:16;19,7;47,3
25;2022-05-16 11:45:16;19,8;47,8
26;2022-05-16 11:50:16;19,9;47,8
27;2022-05-16 11:55:16;19,9;46,3
28;2022-05-16 12:00:16;20;46,3
29;2022-05-16 12:05:16;20,1;46,3
30;2022-05-16 12:10:16;20,1;44,8
31;2022-05-16 12:15:16;20,2;45,3
32;2022-05-16 12:20:16;20,2;45,8
33;2022-05-16 12:25:16;20,3;44,8
34;2022-05-16 12:30:16;20,2;43,7
35;2022-05-16 12:35:16;20,2;43,7
36;2022-05-16 12:40:16;20,3;43,7
37;2022-05-16 12:45:16;20,2;43,7
38;2022-05-16 12:50:16;20,1;43,7
39;2022-05-16 12:55:16;20,2;43,7
40;2022-05-16 13:00:16;20,2;43,7
41;2022-05-16 13:05:16;20,2;43,7
42;2022-05-16 13:10:16;20,3;43,7
43;2022-05-16 13:15:16;20,3;43,7
44;2022-05-16 13:20:16;20,3;43,7
45;2022-05-16 13:25:16;20,3;43,7
46;2022-05-16 13:30:16;20,3;43,7
47;2022-05-16 13:35:16;20,3;43,7
48;2022-05-16 13:40:16;20,3;43,8
49;2022-05-16 13:45:16;20,3;43,8
50;2022-05-16 13:50:16;20,4;43,8
51;2022-05-16 13:55:16;20,4;43,8
52;2022-05-16 14:00:16;20,5;43,8
53;2022-05-16 14:05:16;20,6;43,8
54;2022-05-16 14:10:16;20,7;43,8
55;2022-05-16 14:15:16;21,1;42,8
56;2022-05-16 14:20:16;21,2;42,8
57;2022-05-16 14:25:16;21,3;43,8
58;2022-05-16 14:30:16;21,2;42,8
59;2022-05-16 14:35:16;20;42,6
60;2022-05-16 14:40:16;19,5;43,6
61;2022-05-16 14:45:16;19,2;43,6
62;2022-05-16 14:50:16;19,1;44,1
