RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V313;;
Number;V313;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3609;;
Temperature Maximum;25,5°C;;
Temperature Minimum;11,5°C;;
Temperature Average;16,2°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;65%RH;;
Humidity Minimum;45,7%RH;;
Humidity Average;56,2%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;16/5/2022 09:46;;
End Time;28/5/2022 22:26;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-16 09:46:21;18,4;46,9
2;2022-05-16 09:51:21;17,6;45,7
3;2022-05-16 09:56:21;17,5;45,9
4;2022-05-16 10:01:21;17,5;46,3
5;2022-05-16 10:06:21;17,5;46,8
6;2022-05-16 10:11:21;17,5;46,9
7;2022-05-16 10:16:21;17,5;47
8;2022-05-16 10:21:21;17,4;47,1
9;2022-05-16 10:26:21;17,4;47,1
10;2022-05-16 10:31:21;17,4;47,1
11;2022-05-16 10:36:21;17,4;47,1
12;2022-05-16 10:41:21;17,3;47,2
13;2022-05-16 10:46:21;17,3;47,3
14;2022-05-16 10:51:21;17,2;47,2
15;2022-05-16 10:56:21;17,2;47,3
16;2022-05-16 11:01:21;17,1;47,3
17;2022-05-16 11:06:21;17;47,4
18;2022-05-16 11:11:21;17;47,4
19;2022-05-16 11:16:21;16,9;47,5
20;2022-05-16 11:21:21;16,9;47,5
21;2022-05-16 11:26:21;16,8;47,5
22;2022-05-16 11:31:21;16,8;47,6
23;2022-05-16 11:36:21;16,7;47,6
24;2022-05-16 11:41:21;16,7;47,6
25;2022-05-16 11:46:21;16,7;47,7
26;2022-05-16 11:51:21;16,7;47,8
27;2022-05-16 11:56:21;16,6;47,9
28;2022-05-16 12:01:21;16,6;48
29;2022-05-16 12:06:21;16,6;48,1
30;2022-05-16 12:11:21;16,6;48,1
31;2022-05-16 12:16:21;16,5;48,2
32;2022-05-16 12:21:21;16,5;48,2
33;2022-05-16 12:26:21;16,5;48,3
34;2022-05-16 12:31:21;16,5;48,4
35;2022-05-16 12:36:21;16,5;48,4
36;2022-05-16 12:41:21;16,5;48,5
37;2022-05-16 12:46:21;16,5;48,5
38;2022-05-16 12:51:21;16,5;48,5
39;2022-05-16 12:56:21;16,5;48,6
40;2022-05-16 13:01:21;16,5;48,7
41;2022-05-16 13:06:21;16,5;48,7
42;2022-05-16 13:11:21;16,4;48,7
43;2022-05-16 13:16:21;16,5;48,7
44;2022-05-16 13:21:21;16,4;48,8
45;2022-05-16 13:26:21;16,4;48,8
46;2022-05-16 13:31:21;16,4;48,8
47;2022-05-16 13:36:21;16,4;48,8
48;2022-05-16 13:41:21;16,5;48,9
49;2022-05-16 13:46:21;16,5;48,9
50;2022-05-16 13:51:21;16,5;48,9
51;2022-05-16 13:56:21;16,5;48,9
52;2022-05-16 14:01:21;16,5;49
53;2022-05-16 14:06:21;16,5;49
54;2022-05-16 14:11:21;16,5;49
55;2022-05-16 14:16:21;16,5;49
56;2022-05-16 14:21:21;16,5;49,1
57;2022-05-16 14:26:21;16,5;49,1
58;2022-05-16 14:31:21;16,5;49,2
59;2022-05-16 14:36:21;16,5;49,2
60;2022-05-16 14:41:21;16,5;49,3
61;2022-05-16 14:46:21;16,6;49,4
62;2022-05-16 14:51:21;16,6;49,5
63;2022-05-16 14:56:21;16,6;49,5
64;2022-05-16 15:01:21;16,7;49,6
65;2022-05-16 15:06:21;16,7;49,6
66;2022-05-16 15:11:21;16,7;49,7
67;2022-05-16 15:16:21;16,7;49,7
68;2022-05-16 15:21:21;16,8;49,7
69;2022-05-16 15:26:21;16,8;49,7
70;2022-05-16 15:31:21;16,8;49,7
71;2022-05-16 15:36:21;16,9;49,7
72;2022-05-16 15:41:21;16,9;49,6
73;2022-05-16 15:46:21;16,9;49,6
74;2022-05-16 15:51:21;17;49,6
75;2022-05-16 15:56:21;17;49,6
76;2022-05-16 16:01:21;17,1;49,7
77;2022-05-16 16:06:21;17,2;49,7
78;2022-05-16 16:11:21;17,4;49,7
79;2022-05-16 16:16:21;17,5;49,2
80;2022-05-16 16:21:21;17,5;49
81;2022-05-16 16:26:21;17,5;49
82;2022-05-16 16:31:21;17,5;48,9
83;2022-05-16 16:36:21;17,6;48,9
84;2022-05-16 16:41:21;18,6;51,6
85;2022-05-16 16:46:21;19,2;53,2
86;2022-05-16 16:51:21;19,7;48,4
87;2022-05-16 16:56:21;19;47,6
88;2022-05-16 17:01:21;18,6;47,5
89;2022-05-16 17:06:21;18,4;47,6
90;2022-05-16 17:11:21;18,3;47,7
91;2022-05-16 17:16:21;18,1;47,9
92;2022-05-16 17:21:21;18;48
93;2022-05-16 17:26:21;18;48,1
94;2022-05-16 17:31:21;17,9;48,3
95;2022-05-16 17:36:21;17,8;48,4
