RC-4HC Temperature+Humidity Data Logger;;;
User Information;00V303;;
Number;v303;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;1905-10-17 00:00:00;;
Temperature Maximum;27.2°C;;
Temperature Minimum;18.6°C;;
Temperature Average;20.1°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;46.9%RH;;
Humidity Minimum;34.6%RH;;
Humidity Average;43.4%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-03-03 13:29:33;;
End Time;2022-03-10 21:49:33;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-03-03 13:29:33;22.3;40.8
2;2022-03-03 13:34:33;21.7;40.5
3;2022-03-03 13:39:33;20.8;41
4;2022-03-03 13:44:33;20.3;41.8
5;2022-03-03 13:49:33;20.1;42.3
6;2022-03-03 13:54:33;19.9;42.5
7;2022-03-03 13:59:33;19.9;42.8
8;2022-03-03 14:04:33;19.8;42.9
9;2022-03-03 14:09:33;19.9;43.4
10;2022-03-03 14:14:33;19.9;43.4
11;2022-03-03 14:19:33;19.8;43.1
12;2022-03-03 14:24:33;19.8;43.2
13;2022-03-03 14:29:33;19.9;43.4
14;2022-03-03 14:34:33;19.9;43.4
15;2022-03-03 14:39:33;20;43.4
16;2022-03-03 14:44:33;20;43.6
17;2022-03-03 14:49:33;20.1;43.9
18;2022-03-03 14:54:33;20;43.6
19;2022-03-03 14:59:33;20;43.6
20;2022-03-03 15:04:33;20;43.9
21;2022-03-03 15:09:33;20;43.8
22;2022-03-03 15:14:33;19.9;43.6
23;2022-03-03 15:19:33;19.9;43.7
24;2022-03-03 15:24:33;20;43.8
25;2022-03-03 15:29:33;19.9;43.6
26;2022-03-03 15:34:33;19.9;43.6
27;2022-03-03 15:39:33;19.9;43.5
28;2022-03-03 15:44:33;19.9;43.4
29;2022-03-03 15:49:33;19.9;43.7
30;2022-03-03 15:54:33;20;44
31;2022-03-03 15:59:33;20;43.7
32;2022-03-03 16:04:33;20;43.6
33;2022-03-03 16:09:33;20;43.6
34;2022-03-03 16:14:33;20;43.3
35;2022-03-03 16:19:33;20.1;43.1
36;2022-03-03 16:24:33;20.1;43
37;2022-03-03 16:29:33;20.1;42.8
38;2022-03-03 16:34:33;20.1;42.7
39;2022-03-03 16:39:33;20;42.6
40;2022-03-03 16:44:33;20;42.7
41;2022-03-03 16:49:33;20;42.7
42;2022-03-03 16:54:33;20;42.8
43;2022-03-03 16:59:33;20.1;43.2
44;2022-03-03 17:04:33;20.1;43.2
45;2022-03-03 17:09:33;20.1;43.1
46;2022-03-03 17:14:33;20;43
47;2022-03-03 17:19:33;20;43
48;2022-03-03 17:24:33;19.9;42.8
49;2022-03-03 17:29:33;19.9;42.7
50;2022-03-03 17:34:33;19.8;42.5
51;2022-03-03 17:39:33;19.8;42.4
52;2022-03-03 17:44:33;19.8;42.3
53;2022-03-03 17:49:33;19.7;42.2
54;2022-03-03 17:54:33;19.7;42.2
55;2022-03-03 17:59:33;19.7;42.1
56;2022-03-03 18:04:33;19.6;42
57;2022-03-03 18:09:33;19.6;42.1
58;2022-03-03 18:14:33;19.6;42
59;2022-03-03 18:19:33;19.6;41.9
60;2022-03-03 18:24:33;19.6;41.8
61;2022-03-03 18:29:33;19.5;41.8
62;2022-03-03 18:34:33;19.5;41.7
63;2022-03-03 18:39:33;19.4;41.6
64;2022-03-03 18:44:33;19.4;41.6
65;2022-03-03 18:49:33;19.4;41.5
66;2022-03-03 18:54:33;19.4;41.5
67;2022-03-03 18:59:33;19.3;41.4
68;2022-03-03 19:04:33;19.3;41.4
69;2022-03-03 19:09:33;19.3;41.3
70;2022-03-03 19:14:33;19.2;41.2
71;2022-03-03 19:19:33;19.2;41.2
72;2022-03-03 19:24:33;19.2;41.1
73;2022-03-03 19:29:33;19.2;41.1
74;2022-03-03 19:34:33;19.2;41.2
75;2022-03-03 19:39:33;19.2;41.6
76;2022-03-03 19:44:33;19.2;41.5
77;2022-03-03 19:49:33;19.2;41.7
78;2022-03-03 19:54:33;19.2;41.8
79;2022-03-03 19:59:33;19.3;41.8
80;2022-03-03 20:04:33;19.2;41.6
81;2022-03-03 20:09:33;19.2;41.4
82;2022-03-03 20:14:33;19.1;41.2
83;2022-03-03 20:19:33;19.2;41.7
84;2022-03-03 20:24:33;19.1;41.4
85;2022-03-03 20:29:33;19.2;41.9
86;2022-03-03 20:34:33;19.1;41.6
87;2022-03-03 20:39:33;19.2;41.9
88;2022-03-03 20:44:33;19.2;41.7
89;2022-03-03 20:49:33;19.1;41.9
90;2022-03-03 20:54:33;19.2;42.8
91;2022-03-03 20:59:33;19.3;43.4
92;2022-03-03 21:04:33;19.4;43.8
93;2022-03-03 21:09:33;19.5;43.6
94;2022-03-03 21:14:33;19.5;43.4
95;2022-03-03 21:19:33;19.4;43.1
96;2022-03-03 21:24:33;19.4;42.9
97;2022-03-03 21:29:33;19.4;43.2
98;2022-03-03 21:34:33;19.5;44.2
99;2022-03-03 21:39:33;19.7;44.7
100;2022-03-03 21:44:33;19.7;44.4
101;2022-03-03 21:49:33;19.8;44.7
102;2022-03-03 21:54:33;19.8;44.8
103;2022-03-03 21:59:33;19.8;44.8
104;2022-03-03 22:04:33;19.9;44.8
105;2022-03-03 22:09:33;19.9;44.9
106;2022-03-03 22:14:33;20;44.8
107;2022-03-03 22:19:33;20;44.8
108;2022-03-03 22:24:33;20.1;44.8
109;2022-03-03 22:29:33;20.1;44.8
110;2022-03-03 22:34:33;20.1;44.8
111;2022-03-03 22:39:33;20.2;44.8
112;2022-03-03 22:44:33;20.2;44.8
113;2022-03-03 22:49:33;20.2;44.8
114;2022-03-03 22:54:33;20.2;44.8
115;2022-03-03 22:59:33;20.2;44.8
116;2022-03-03 23:04:33;20.3;44.8
117;2022-03-03 23:09:33;20.3;44.7
118;2022-03-03 23:14:33;20.3;44.7
119;2022-03-03 23:19:33;20.3;44.7
120;2022-03-03 23:24:33;20.3;44.7
121;2022-03-03 23:29:33;20.3;44.7
122;2022-03-03 23:34:33;20.3;44.7
123;2022-03-03 23:39:33;20.3;44.7
124;2022-03-03 23:44:33;20.3;44.7
125;2022-03-03 23:49:33;20.3;44.6
126;2022-03-03 23:54:33;20.3;44.6
127;2022-03-03 23:59:33;20.3;44.6
128;2022-03-04 00:04:33;20.4;44.6
129;2022-03-04 00:09:33;20.4;44.6
130;2022-03-04 00:14:33;20.4;44.6
131;2022-03-04 00:19:33;20.4;44.6
132;2022-03-04 00:24:33;20.4;44.6
133;2022-03-04 00:29:33;20.4;44.6
134;2022-03-04 00:34:33;20.4;44.6
135;2022-03-04 00:39:33;20.4;44.6
136;2022-03-04 00:44:33;20.4;44.6
137;2022-03-04 00:49:33;20.4;44.6
138;2022-03-04 00:54:33;20.4;44.6
139;2022-03-04 00:59:33;20.4;44.6
140;2022-03-04 01:04:33;20.4;44.6
141;2022-03-04 01:09:33;20.5;44.6
142;2022-03-04 01:14:33;20.5;44.6
143;2022-03-04 01:19:33;20.5;44.5
144;2022-03-04 01:24:33;20.5;44.6
145;2022-03-04 01:29:33;20.5;44.6
146;2022-03-04 01:34:33;20.5;44.6
147;2022-03-04 01:39:33;20.5;44.5
148;2022-03-04 01:44:33;20.5;44.5
149;2022-03-04 01:49:33;20.5;44.6
150;2022-03-04 01:54:33;20.5;44.6
151;2022-03-04 01:59:33;20.5;44.6
152;2022-03-04 02:04:33;20.5;44.6
153;2022-03-04 02:09:33;20.5;44.6
154;2022-03-04 02:14:33;20.5;44.6
155;2022-03-04 02:19:33;20.5;44.6
156;2022-03-04 02:24:33;20.5;44.6
157;2022-03-04 02:29:33;20.5;44.6
158;2022-03-04 02:34:33;20.5;44.6
159;2022-03-04 02:39:33;20.5;44.6
160;2022-03-04 02:44:33;20.5;44.6
161;2022-03-04 02:49:33;20.5;44.6
162;2022-03-04 02:54:33;20.5;44.6
163;2022-03-04 02:59:33;20.5;44.6
164;2022-03-04 03:04:33;20.4;44.6
165;2022-03-04 03:09:33;20.4;44.6
166;2022-03-04 03:14:33;20.4;44.7
167;2022-03-04 03:19:33;20.4;44.7
168;2022-03-04 03:24:33;20.4;44.7
169;2022-03-04 03:29:33;20.4;44.7
170;2022-03-04 03:34:33;20.4;44.7
171;2022-03-04 03:39:33;20.4;44.7
172;2022-03-04 03:44:33;20.4;44.8
173;2022-03-04 03:49:33;20.4;44.8
174;2022-03-04 03:54:33;20.4;44.8
175;2022-03-04 03:59:33;20.4;44.8
176;2022-03-04 04:04:33;20.4;44.8
177;2022-03-04 04:09:33;20.4;44.8
178;2022-03-04 04:14:33;20.4;44.9
179;2022-03-04 04:19:33;20.4;44.9
180;2022-03-04 04:24:33;20.4;44.9
181;2022-03-04 04:29:33;20.4;44.9
182;2022-03-04 04:34:33;20.4;44.9
183;2022-03-04 04:39:33;20.3;44.9
184;2022-03-04 04:44:33;20.3;44.9
185;2022-03-04 04:49:33;20.3;45
186;2022-03-04 04:54:33;20.3;45
187;2022-03-04 04:59:33;20.3;45
188;2022-03-04 05:04:33;20.3;45
189;2022-03-04 05:09:33;20.3;45
190;2022-03-04 05:14:33;20.3;45
191;2022-03-04 05:19:33;20.3;45
192;2022-03-04 05:24:33;20.3;45.1
193;2022-03-04 05:29:33;20.3;45.1
194;2022-03-04 05:34:33;20.3;45.1
195;2022-03-04 05:39:33;20.3;45.1
196;2022-03-04 05:44:33;20.3;45.1
197;2022-03-04 05:49:33;20.3;45.1
198;2022-03-04 05:54:33;20.3;45.1
199;2022-03-04 05:59:33;20.3;45.1
200;2022-03-04 06:04:33;20.3;45.2
201;2022-03-04 06:09:33;20.3;45.1
202;2022-03-04 06:14:33;20.3;45.2
203;2022-03-04 06:19:33;20.3;45.2
204;2022-03-04 06:24:33;20.3;45.2
205;2022-03-04 06:29:33;20.3;45.2
206;2022-03-04 06:34:33;20.3;45.2
207;2022-03-04 06:39:33;20.3;45.2
208;2022-03-04 06:44:33;20.3;45.2
209;2022-03-04 06:49:33;20.3;45.2
210;2022-03-04 06:54:33;20.3;45.2
211;2022-03-04 06:59:33;20.3;45.2
212;2022-03-04 07:04:33;20.3;45.2
213;2022-03-04 07:09:33;20.3;45.3
214;2022-03-04 07:14:33;20.3;45.2
215;2022-03-04 07:19:33;20.3;45.3
216;2022-03-04 07:24:33;20.3;45.3
217;2022-03-04 07:29:33;20.3;45.3
218;2022-03-04 07:34:33;20.3;45.3
219;2022-03-04 07:39:33;20.3;45.3
220;2022-03-04 07:44:33;20.3;45.3
221;2022-03-04 07:49:33;20.3;45.3
222;2022-03-04 07:54:33;20.3;45.3
