RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;V57;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;4121;;
Temperature Maximum;26.9°C;;
Temperature Minimum;20.6°C;;
Temperature Average;23.8°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;55.3%RH;;
Humidity Minimum;42.1%RH;;
Humidity Average;51.1%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;4/01/2022 9:27;;
End Time;18/01/2022 16:47;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-05-23 13:18:53;6,6;80,4
2;2022-05-23 13:20:53;7,1;78,2
3;2022-05-23 13:22:53;7;77
4;2022-05-23 13:24:53;6,8;72,6
5;2022-05-23 13:26:53;6,1;72,1
6;2022-05-23 13:28:53;5,5;76,8
7;2022-05-23 13:30:53;5,5;85,3
8;2022-05-23 13:32:53;5,4;84,4
9;2022-05-23 13:34:53;5,6;87,2
10;2022-05-23 13:36:53;5,9;84,2
11;2022-05-23 13:38:53;5,8;82
12;2022-05-23 13:40:53;5,7;77,2
13;2022-05-23 13:42:53;5,4;76,3
14;2022-05-23 13:44:53;5,2;77,4
15;2022-05-23 13:46:53;5;79,9
16;2022-05-23 13:48:53;5,1;81,1
17;2022-05-23 13:50:53;5;82,6
18;2022-05-23 13:52:53;5,1;85,4
19;2022-05-23 13:54:53;5,2;89
20;2022-05-23 13:56:53;4,7;79,5
21;2022-05-23 13:58:53;3,7;74,6
22;2022-05-23 14:00:53;3,4;79,1
23;2022-05-23 14:02:53;3,3;81,2
24;2022-05-23 14:04:53;3,4;82,7
25;2022-05-23 14:06:53;3,6;85
26;2022-05-23 14:08:53;3,8;85,9
27;2022-05-23 14:10:53;4,1;86,9
28;2022-05-23 14:12:53;4,3;86,8
29;2022-05-23 14:14:53;4,5;87,6
30;2022-05-23 14:16:53;4,7;88,2
31;2022-05-23 14:18:53;4,9;88,8
32;2022-05-23 14:20:53;5;87,2
33;2022-05-23 14:22:53;4,8;84,2
34;2022-05-23 14:24:53;4,7;83
35;2022-05-23 14:26:53;4,6;83,4
36;2022-05-23 14:28:53;4,7;84,5
37;2022-05-23 14:30:53;4,7;85,6
38;2022-05-23 14:32:53;4,8;86,6
39;2022-05-23 14:34:53;4,9;87,1
40;2022-05-23 14:36:53;5,1;87,5
41;2022-05-23 14:38:53;5,2;88,1
42;2022-05-23 14:40:53;5,1;86,4
43;2022-05-23 14:42:53;5,1;85,3
44;2022-05-23 14:44:53;5,1;85,1
45;2022-05-23 14:46:53;5;85,7
46;2022-05-23 14:48:53;5,1;86,5
47;2022-05-23 14:50:53;5,1;87
48;2022-05-23 14:52:53;5,2;87,3
49;2022-05-23 14:54:53;5,3;88,4
50;2022-05-23 14:56:53;5,4;88,4
51;2022-05-23 14:58:53;5,5;88,5
52;2022-05-23 15:00:53;5,6;89
53;2022-05-23 15:02:53;5,7;89,1
54;2022-05-23 15:04:53;5,8;89,4
55;2022-05-23 15:06:53;6;89,9
56;2022-05-23 15:08:53;6,1;90,1
57;2022-05-23 15:10:53;6,2;90,2
58;2022-05-23 15:12:53;6,3;90,5
59;2022-05-23 15:14:53;6,5;90,7
60;2022-05-23 15:16:53;6,5;90,8
61;2022-05-23 15:18:53;6,6;91,1
62;2022-05-23 15:20:53;6,8;91,1
63;2022-05-23 15:22:53;6,9;91,5
64;2022-05-23 15:24:53;7;91,1
65;2022-05-23 15:26:53;7,1;91,6
66;2022-05-23 15:28:53;7,2;91,4
67;2022-05-23 15:30:53;7,3;91,5
68;2022-05-23 15:32:53;7,4;91,5
69;2022-05-23 15:34:53;7,4;91,2
70;2022-05-23 15:36:53;7,3;89,9
71;2022-05-23 15:38:53;7,1;88,3
72;2022-05-23 15:40:53;7;86,5
73;2022-05-23 15:42:53;6,7;85,1
74;2022-05-23 15:44:53;6,5;84,5
75;2022-05-23 15:46:53;6,2;82,4
76;2022-05-23 15:48:53;5,9;81
77;2022-05-23 15:50:53;5,6;80
78;2022-05-23 15:52:53;5,3;79,2
79;2022-05-23 15:54:53;5;80,7
80;2022-05-23 15:56:53;4,9;82,9
81;2022-05-23 15:58:53;4,9;84,9
82;2022-05-23 16:00:53;4,9;88
83;2022-05-23 16:02:53;5;88,3
84;2022-05-23 16:04:53;5,1;89,1
85;2022-05-23 16:06:53;5,2;88,8
86;2022-05-23 16:08:53;5,1;86,5
87;2022-05-23 16:10:53;4,9;83
88;2022-05-23 16:12:53;4,7;83,6
89;2022-05-23 16:14:53;4,6;84,8
90;2022-05-23 16:16:53;4,7;86,1
91;2022-05-23 16:18:53;4,7;87,2
92;2022-05-23 16:20:53;4,9;88,7
93;2022-05-23 16:22:53;5;89,2
94;2022-05-23 16:24:53;5,1;89,5
95;2022-05-23 16:26:53;5,1;88,4
96;2022-05-23 16:28:53;4,9;84,3
97;2022-05-23 16:30:53;4,8;83,4
98;2022-05-23 16:32:53;4,6;84,4
99;2022-05-23 16:34:53;4,6;85,9
100;2022-05-23 16:36:53;4,7;87,2
101;2022-05-23 16:38:53;4,8;88,6
102;2022-05-23 16:40:53;4,9;88,9
103;2022-05-23 16:42:53;5,1;89,4
104;2022-05-23 16:44:53;5,2;89,4
105;2022-05-23 16:46:53;5,1;85,7
106;2022-05-23 16:48:53;4,8;83,9
107;2022-05-23 16:50:53;4,7;84
108;2022-05-23 16:52:53;4,6;85,4
109;2022-05-23 16:54:53;4,6;86,5
110;2022-05-23 16:56:53;4,7;88
111;2022-05-23 16:58:53;4,8;88,3
112;2022-05-23 17:00:53;4,9;88,9
113;2022-05-23 17:02:53;5,1;89,7
114;2022-05-23 17:04:53;5,1;89
115;2022-05-23 17:06:53;4,9;84,9
116;2022-05-23 17:08:53;4,7;83,7
117;2022-05-23 17:10:53;4,6;84,3
118;2022-05-23 17:12:53;4,5;85,6
119;2022-05-23 17:14:53;4,6;86,5
120;2022-05-23 17:16:53;4,7;88
121;2022-05-23 17:18:53;4,8;89,1
122;2022-05-23 17:20:53;4,9;89,9
123;2022-05-23 17:22:53;5,1;90,3
124;2022-05-23 17:24:53;5;88,8
125;2022-05-23 17:26:53;4,9;86,5
126;2022-05-23 17:28:53;4,7;84,4
127;2022-05-23 17:30:53;4,6;85
128;2022-05-23 17:32:53;4,6;86,1
129;2022-05-23 17:34:53;4,6;87,3
130;2022-05-23 17:36:53;4,7;88,1
131;2022-05-23 17:38:53;4,8;89,2
132;2022-05-23 17:40:53;4,9;89,8
133;2022-05-23 17:42:53;5,1;90,5
134;2022-05-23 17:44:53;5;88,1
135;2022-05-23 17:46:53;4,8;84,9
136;2022-05-23 17:48:53;4,7;84,6
137;2022-05-23 17:50:53;4,6;85,5
138;2022-05-23 17:52:53;4,6;86,7
139;2022-05-23 17:54:53;4,6;87,7
140;2022-05-23 17:56:53;4,7;88,5
141;2022-05-23 17:58:53;4,8;89
142;2022-05-23 18:00:53;5;89,7
143;2022-05-23 18:02:53;5,1;89,9
144;2022-05-23 18:04:53;5;87,7
145;2022-05-23 18:06:53;4,8;84,8
146;2022-05-23 18:08:53;4,7;84,8
147;2022-05-23 18:10:53;4,6;86,3
148;2022-05-23 18:12:53;4,6;86,9
