Informe de datos;;;;;
Archivo creado el:2022-05-28 18:30:33;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:33:29
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V802;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2100;;MKT;21,4;
Primera lectura;2022-05-21 11:33:29;;Última lectura;2022-05-28 18:28:29;
Máximo(Temperatura);25,9°C;;Mínimo(Temperatura);17,6°C;
Promedio(Temperatura);21,2°C;;Tiempo de grabación;7D 6H 55M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);77,9%;;Mínimo(Humedad);53,6%;
Promedio(Humedad);68,1%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:33:29;24,4;59,4;;
2;2022-05-21 11:38:29;23,1;61,6;;
3;2022-05-21 11:43:29;22,2;63,8;;
4;2022-05-21 11:48:29;21,5;64,7;;
5;2022-05-21 11:53:29;21,1;66;;
6;2022-05-21 11:58:29;20,9;66,8;;
7;2022-05-21 12:03:29;20,6;67,2;;
8;2022-05-21 12:08:29;20,5;67,7;;
9;2022-05-21 12:13:29;20,4;68,1;;
10;2022-05-21 12:18:29;20,3;68,6;;
11;2022-05-21 12:23:29;20,3;68,5;;
12;2022-05-21 12:28:29;20,2;69;;
13;2022-05-21 12:33:29;20,2;69,4;;
14;2022-05-21 12:38:29;20,2;69,4;;
15;2022-05-21 12:43:29;20,2;69,4;;
16;2022-05-21 12:48:29;20,2;69,9;;
17;2022-05-21 12:53:29;20,1;69,9;;
18;2022-05-21 12:58:29;20,1;69,9;;
19;2022-05-21 13:03:29;20,1;70,3;;
20;2022-05-21 13:08:29;22,5;75;;
21;2022-05-21 13:13:29;25,2;70,8;;
22;2022-05-21 13:18:29;24;65,5;;
23;2022-05-21 13:23:29;23,5;65,9;;
24;2022-05-21 13:28:29;23,3;65,9;;
25;2022-05-21 13:33:29;23,3;65,9;;
26;2022-05-21 13:38:29;23,3;65,9;;
27;2022-05-21 13:43:29;23,3;65,4;;
28;2022-05-21 13:48:29;23,3;64,9;;
29;2022-05-21 13:53:29;23,3;65,4;;
30;2022-05-21 13:58:29;23,2;65,9;;
31;2022-05-21 14:03:29;23,2;65,9;;
32;2022-05-21 14:08:29;23,1;66,3;;
33;2022-05-21 14:13:29;23,1;66,3;;
34;2022-05-21 14:18:29;23;66,3;;
35;2022-05-21 14:23:29;22,9;66,7;;
36;2022-05-21 14:28:29;22,9;67,2;;
37;2022-05-21 14:33:29;22,8;67,2;;
38;2022-05-21 14:38:29;22,7;67,2;;
39;2022-05-21 14:43:29;22,6;66,7;;
40;2022-05-21 14:48:29;22,6;66,7;;
41;2022-05-21 14:53:29;22,5;66,7;;
42;2022-05-21 14:58:29;22,4;67,1;;
43;2022-05-21 15:03:29;22,4;67,1;;
44;2022-05-21 15:08:29;22,4;67,1;;
45;2022-05-21 15:13:29;22,4;66,6;;
46;2022-05-21 15:18:29;22,3;66,6;;
