Informe de datos;;;;;
Archivo creado el:2022-05-28 18:54:18;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:34:00
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V807;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2067;;MKT;21,2;
Primera lectura;2022-05-21 11:34:00;;Última lectura;2022-05-28 15:44:00;
Máximo(Temperatura);25,4°C;;Mínimo(Temperatura);17,8°C;
Promedio(Temperatura);21,0°C;;Tiempo de grabación;7D 4H 10M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,1%;;Mínimo(Humedad);54,3%;
Promedio(Humedad);68,9%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:34:00;24;60,3;;
2;2022-05-21 11:39:00;22,7;63,4;;
3;2022-05-21 11:44:00;22,4;65,2;;
4;2022-05-21 11:49:00;21,6;66;;
5;2022-05-21 11:54:00;21,2;66,9;;
6;2022-05-21 11:59:00;20,9;68,6;;
7;2022-05-21 12:04:00;21,5;66;;
8;2022-05-21 12:09:00;22,1;64,3;;
9;2022-05-21 12:14:00;22,2;64,3;;
10;2022-05-21 12:19:00;21,3;65,5;;
11;2022-05-21 12:24:00;20,9;66,3;;
12;2022-05-21 12:29:00;20,6;67,2;;
13;2022-05-21 12:34:00;20,8;69,5;;
14;2022-05-21 12:39:00;21,3;69,6;;
15;2022-05-21 12:44:00;22,3;76,7;;
16;2022-05-21 12:49:00;23,1;67,2;;
17;2022-05-21 12:54:00;22,5;67,1;;
18;2022-05-21 12:59:00;22,2;67;;
19;2022-05-21 13:04:00;22,1;67,5;;
20;2022-05-21 13:09:00;22,2;67;;
21;2022-05-21 13:14:00;22,2;66,6;;
22;2022-05-21 13:19:00;22,4;66,6;;
23;2022-05-21 13:24:00;22,6;67,1;;
24;2022-05-21 13:29:00;22,7;67,1;;
25;2022-05-21 13:34:00;22,8;67,1;;
26;2022-05-21 13:39:00;22,9;66,2;;
27;2022-05-21 13:44:00;22,9;66,2;;
28;2022-05-21 13:49:00;22,9;66,3;;
29;2022-05-21 13:54:00;22,9;66,2;;
30;2022-05-21 13:59:00;22,9;66,7;;
31;2022-05-21 14:04:00;22,9;67,2;;
32;2022-05-21 14:09:00;22,8;67,1;;
33;2022-05-21 14:14:00;22,8;67,1;;
34;2022-05-21 14:19:00;22,7;67,1;;
35;2022-05-21 14:24:00;22,7;68;;
36;2022-05-21 14:29:00;22,6;68;;
37;2022-05-21 14:34:00;22,5;68;;
38;2022-05-21 14:39:00;22,4;68;;
39;2022-05-21 14:44:00;22,3;67,5;;
40;2022-05-21 14:49:00;22,2;67,5;;
41;2022-05-21 14:54:00;22,2;67,5;;
42;2022-05-21 14:59:00;22,2;67,5;;
43;2022-05-21 15:04:00;22,2;68;;
44;2022-05-21 15:09:00;22,2;67,5;;
45;2022-05-21 15:14:00;22,2;67,5;;
46;2022-05-21 15:19:00;22,2;67,5;;
47;2022-05-21 15:24:00;22,2;67,5;;
