Informe de datos;;;;;
Archivo creado el:2022-05-28 18:27:33;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:32:19
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V756;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2072;;MKT;21,4;
Primera lectura;2022-05-21 11:32:19;;Última lectura;2022-05-28 16:07:19;
Máximo(Temperatura);26,1°C;;Mínimo(Temperatura);17,4°C;
Promedio(Temperatura);21,1°C;;Tiempo de grabación;7D 4H 35M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);77,9%;;Mínimo(Humedad);53,1%;
Promedio(Humedad);67,8%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:19;24;58,4;;
2;2022-05-21 11:37:19;23,1;62,1;;
3;2022-05-21 11:42:19;22,2;63,8;;
4;2022-05-21 11:47:19;21,8;65,1;;
5;2022-05-21 11:52:19;21,2;66;;
6;2022-05-21 11:57:19;20,9;66,8;;
7;2022-05-21 12:02:19;20,7;67,3;;
8;2022-05-21 12:07:19;20,5;68,1;;
9;2022-05-21 12:12:19;20,3;68,6;;
10;2022-05-21 12:17:19;20,3;69;;
11;2022-05-21 12:22:19;20,2;69,4;;
12;2022-05-21 12:27:19;20,2;69,4;;
13;2022-05-21 12:32:19;20,3;70,3;;
14;2022-05-21 12:37:19;20,8;70,4;;
15;2022-05-21 12:42:19;21,1;70;;
16;2022-05-21 12:47:19;21,4;68,7;;
17;2022-05-21 12:52:19;21,4;68,7;;
18;2022-05-21 12:57:19;25,4;69,4;;
19;2022-05-21 13:02:19;23,8;65;;
20;2022-05-21 13:07:19;23;65,4;;
21;2022-05-21 13:12:19;22,9;65,3;;
22;2022-05-21 13:17:19;22,8;65,3;;
23;2022-05-21 13:22:19;22,9;65,3;;
24;2022-05-21 13:27:19;23;65,3;;
25;2022-05-21 13:32:19;23,1;65,4;;
26;2022-05-21 13:37:19;23,2;65,4;;
27;2022-05-21 13:42:19;23,2;64,9;;
28;2022-05-21 13:47:19;23,3;64,5;;
29;2022-05-21 13:52:19;23,2;64,9;;
30;2022-05-21 13:57:19;23,1;65,4;;
31;2022-05-21 14:02:19;23;65,8;;
32;2022-05-21 14:07:19;23;65,8;;
33;2022-05-21 14:12:19;22,9;66,3;;
34;2022-05-21 14:17:19;22,9;66,3;;
35;2022-05-21 14:22:19;22,8;66,7;;
36;2022-05-21 14:27:19;22,8;67,6;;
37;2022-05-21 14:32:19;22,7;67,1;;
38;2022-05-21 14:37:19;22,6;67,1;;
39;2022-05-21 14:42:19;22,5;66,7;;
40;2022-05-21 14:47:19;22,4;66,6;;
41;2022-05-21 14:52:19;22,4;66,6;;
42;2022-05-21 14:57:19;22,3;66,6;;
43;2022-05-21 15:02:19;22,2;67,1;;
44;2022-05-21 15:07:19;22,2;66,6;;
45;2022-05-21 15:12:19;22,2;66,6;;
46;2022-05-21 15:17:19;22,3;66,6;;
47;2022-05-21 15:22:19;22,2;66,6;;
