RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;V224;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3415;;
Temperature Maximum;32.2°C;;
Temperature Minimum;7.5°C;;
Temperature Average;15.8°C;;
Temperature Alarm Upper Limit;60.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;85.8%RH;;
Humidity Minimum;29.9%RH;;
Humidity Average;58.4%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;9/09/2020 11:16;;
End Time;21/09/2020 10:46;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-21,9;56.7
2;2020/09/09 13:01:00;-21,7;61.7
3;2020/09/09 13:02:00;-21,2;59.2
4;2020/09/09 13:03:00;-21,4;56.7
5;2020/09/09 13:04:00;-23,5;56.3
6;2020/09/09 13:05:00;-24,9;55.2
7;2020/09/09 13:06:00;-25,7;55.5
8;2020/09/09 13:07:00;-26,2;58.1
9;2020/09/09 13:08:00;-26,6;60.2
10;2020/09/09 13:09:00;-26,8;62
11;2020/09/09 13:10:00;-26,8;63.3
12;2020/09/09 13:11:00;-26,9;64.2
13;2020/09/09 13:12:00;-26,9;65
14;2020/09/09 13:13:00;-26,9;65.7
15;2020/09/09 13:14:00;-26,9;66
16;2020/09/09 13:15:00;-26,9;66.6
17;2020/09/09 13:16:00;-26,8;66.9
18;2020/09/09 13:17:00;-26,8;67.1
19;2020/09/09 13:18:00;-26,8;67.1
20;2020/09/09 13:19:00;-26,7;67.2
21;2020/09/09 13:20:00;-26,7;67.1
22;2020/09/09 13:21:00;-26,7;67.1
23;2020/09/09 13:22:00;-26,7;67.1
24;2020/09/09 13:23:00;-26,7;67.3
25;2020/09/09 13:24:00;-26,7;67.4
26;2020/09/09 13:25:00;-26,6;67.6
27;2020/09/09 13:26:00;-26,6;67.3
28;2020/09/09 13:27:00;-26,6;67.3
29;2020/09/09 13:28:00;-26,6;67.4
30;2020/09/09 13:29:00;-26,6;67.6
31;2020/09/09 13:30:00;-26,7;67.8
32;2020/09/09 13:31:00;-26,7;68
33;2020/09/09 13:32:00;-26,8;68.3
34;2020/09/09 13:33:00;-26,7;68.5
35;2020/09/09 13:34:00;-26,7;68.5
36;2020/09/09 13:35:00;-26,7;68.7
37;2020/09/09 13:36:00;-26,7;68.8
38;2020/09/09 13:37:00;-26,6;68.9
39;2020/09/09 13:38:00;-26,6;68.8
40;2020/09/09 13:39:00;-26,5;68.8
41;2020/09/09 13:40:00;-26,4;68.7
42;2020/09/09 13:41:00;-26,3;68.5
43;2020/09/09 13:42:00;-26,3;68.4
44;2020/09/09 13:43:00;-26,3;68.1
45;2020/09/09 13:44:00;-26,3;67.7
46;2020/09/09 13:45:00;-26,4;67.5
47;2020/09/09 13:46:00;-26,4;67.7
48;2020/09/09 13:47:00;-26,5;67.8
49;2020/09/09 13:48:00;-26,6;67.9
50;2020/09/09 13:49:00;-26,7;68.1
