RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;7201300559;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;2781;;
Temperature Maximum;22,9°C;;
Temperature Minimum;14,4°C;;
Temperature Average;18°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;62%RH;;
Humidity Minimum;33,2%RH;;
Humidity Average;51,2%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;2022-04-24 20:03:21;;
End Time;2022-05-04 11:43:21;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2022-04-24 20:03:21;22,6;47,1
2;2022-04-24 20:08:21;22,6;47,1
3;2022-04-24 20:13:21;22,6;47,1
4;2022-04-24 20:18:21;22,6;46,6
5;2022-04-24 20:23:21;22,5;46,6
6;2022-04-24 20:28:21;22,4;46,6
7;2022-04-24 20:33:21;22,3;46,6
8;2022-04-24 20:38:21;22,3;46,6
9;2022-04-24 20:43:21;22,2;46,6
10;2022-04-24 20:48:21;22,2;46
11;2022-04-24 20:53:21;22,1;46
12;2022-04-24 20:58:21;22;46
13;2022-04-24 21:03:21;21,8;46
14;2022-04-24 21:08:21;21,5;46
15;2022-04-24 21:13:21;21,3;45,9
16;2022-04-24 21:18:21;21,1;45,9
17;2022-04-24 21:23:21;20,9;45,9
18;2022-04-24 21:28:21;20,8;45,9
19;2022-04-24 21:33:21;20,6;46,4
20;2022-04-24 21:38:21;20,4;46,3
21;2022-04-24 21:43:21;20,3;46,3
22;2022-04-24 21:48:21;20,2;46,3
23;2022-04-24 21:53:21;20;46,3
24;2022-04-24 21:58:21;19,9;46,3
25;2022-04-24 22:03:21;19,8;46,8
26;2022-04-24 22:08:21;19,8;46,8
27;2022-04-24 22:13:21;19,8;46,8
28;2022-04-24 22:18:21;19,8;46,8
29;2022-04-24 22:23:21;19,8;46,8
30;2022-04-24 22:28:21;19,8;46,8
31;2022-04-24 22:33:21;19,8;46,8
32;2022-04-24 22:38:21;19,8;46,8
33;2022-04-24 22:43:21;19,8;47,3
34;2022-04-24 22:48:21;19,8;47,3
35;2022-04-24 22:53:21;19,8;47,3
36;2022-04-24 22:58:21;19,8;47,3
37;2022-04-24 23:03:21;19,8;47,3
38;2022-04-24 23:08:21;19,8;47,3
39;2022-04-24 23:13:21;19,8;47,3
40;2022-04-24 23:18:21;19,8;47,3
41;2022-04-24 23:23:21;19,9;47,3
42;2022-04-24 23:28:21;19,9;47,3
43;2022-04-24 23:33:21;19,9;47,3
44;2022-04-24 23:38:21;19,9;47,3
45;2022-04-24 23:43:21;19,9;47,8
46;2022-04-24 23:48:21;20;47,8
47;2022-04-24 23:53:21;20;47,8
48;2022-04-24 23:58:21;20;47,3
49;2022-04-25 00:03:21;20;47,8
50;2022-04-25 00:08:21;20;47,8
51;2022-04-25 00:13:21;20,1;47,8
52;2022-04-25 00:18:21;20,1;47,8
53;2022-04-25 00:23:21;20,1;47,8
54;2022-04-25 00:28:21;20,1;47,8
55;2022-04-25 00:33:21;20,1;47,8
56;2022-04-25 00:38:21;20,1;47,8
57;2022-04-25 00:43:21;20,2;47,8
58;2022-04-25 00:48:21;20,2;47,8
59;2022-04-25 00:53:21;20,2;47,8
60;2022-04-25 00:58:21;20,2;47,9
61;2022-04-25 01:03:21;20,2;47,8
62;2022-04-25 01:08:21;20,2;47,9
63;2022-04-25 01:13:21;20,3;47,9
64;2022-04-25 01:18:21;20,3;47,9
65;2022-04-25 01:23:21;20,3;47,3
66;2022-04-25 01:28:21;20,3;47,3
67;2022-04-25 01:33:21;20,3;47,9
68;2022-04-25 01:38:21;20,3;47,3
69;2022-04-25 01:43:21;20,3;47,4
70;2022-04-25 01:48:21;20,3;47,4
71;2022-04-25 01:53:21;20,3;47,9
72;2022-04-25 01:58:21;20,3;47,4
73;2022-04-25 02:03:21;20,3;47,4
74;2022-04-25 02:08:21;20,3;47,4
75;2022-04-25 02:13:21;20,3;47,9
76;2022-04-25 02:18:21;20,4;47,4
77;2022-04-25 02:23:21;20,4;47,4
78;2022-04-25 02:28:21;20,4;47,4
79;2022-04-25 02:33:21;20,4;47,4
80;2022-04-25 02:38:21;20,4;47,4
81;2022-04-25 02:43:21;20,4;47,4
82;2022-04-25 02:48:21;20,4;47,4
83;2022-04-25 02:53:21;20,4;47,4
84;2022-04-25 02:58:21;20,4;47,4
85;2022-04-25 03:03:21;20,4;47,4
86;2022-04-25 03:08:21;20,5;47,4
87;2022-04-25 03:13:21;20,5;47,4
88;2022-04-25 03:18:21;20,5;47,4
89;2022-04-25 03:23:21;20,5;47,4
90;2022-04-25 03:28:21;20,5;47,4
91;2022-04-25 03:33:21;20,5;47,4
92;2022-04-25 03:38:21;20,5;47,4
93;2022-04-25 03:43:21;20,5;47,4
94;2022-04-25 03:48:21;20,5;47,4
95;2022-04-25 03:53:21;20,5;47,4
96;2022-04-25 03:58:21;20,5;47,4
97;2022-04-25 04:03:21;20,5;47,4
98;2022-04-25 04:08:21;20,5;47,4
99;2022-04-25 04:13:21;20,5;47,4
100;2022-04-25 04:18:21;20,6;47,4
101;2022-04-25 04:23:21;20,6;47,4
102;2022-04-25 04:28:21;20,6;47,4
103;2022-04-25 04:33:21;20,6;47,4
104;2022-04-25 04:38:21;20,6;47,4
105;2022-04-25 04:43:21;20,6;47,4
106;2022-04-25 04:48:21;20,6;47,4
107;2022-04-25 04:53:21;20,6;47,4
108;2022-04-25 04:58:21;20,6;47,4
109;2022-04-25 05:03:21;20,6;47,4
110;2022-04-25 05:08:21;20,6;47,4
111;2022-04-25 05:13:21;20,6;47,4
112;2022-04-25 05:18:21;20,6;46,9
113;2022-04-25 05:23:21;20,6;47,4
114;2022-04-25 05:28:21;20,6;46,9
115;2022-04-25 05:33:21;20,6;47,4
116;2022-04-25 05:38:21;20,6;47,4
117;2022-04-25 05:43:21;20,6;47,4
118;2022-04-25 05:48:21;20,6;46,9
119;2022-04-25 05:53:21;20,6;46,9
120;2022-04-25 05:58:21;20,6;47,4
121;2022-04-25 06:03:21;20,6;46,9
122;2022-04-25 06:08:21;20,6;47,4
123;2022-04-25 06:13:21;20,6;46,9
124;2022-04-25 06:18:21;20,6;46,9
125;2022-04-25 06:23:21;20,6;46,9
126;2022-04-25 06:28:21;20,6;46,9
127;2022-04-25 06:33:21;20,6;46,9
128;2022-04-25 06:38:21;20,6;46,9
129;2022-04-25 06:43:21;20,6;46,9
130;2022-04-25 06:48:21;20,6;46,9
131;2022-04-25 06:53:21;20,6;46,9
132;2022-04-25 06:58:21;20,6;46,9
133;2022-04-25 07:03:21;20,6;46,9
134;2022-04-25 07:08:21;20,6;46,9
135;2022-04-25 07:13:21;20,7;46,9
136;2022-04-25 07:18:21;20,6;46,9
137;2022-04-25 07:23:21;20,6;46,9
138;2022-04-25 07:28:21;20,6;46,9
139;2022-04-25 07:33:21;20,6;46,9
140;2022-04-25 07:38:21;20,6;46,9
141;2022-04-25 07:43:21;20,6;46,9
142;2022-04-25 07:48:21;20,6;46,9
143;2022-04-25 07:53:21;20,6;46,9
144;2022-04-25 07:58:21;20,6;46,9
145;2022-04-25 08:03:21;20,6;46,9
146;2022-04-25 08:08:21;20,6;46,9
147;2022-04-25 08:13:21;20,6;46,9
148;2022-04-25 08:18:21;20,6;46,9
149;2022-04-25 08:23:21;20,6;47,4
150;2022-04-25 08:28:21;20,6;46,9
151;2022-04-25 08:33:21;20,6;46,9
152;2022-04-25 08:38:21;20,7;46,9
153;2022-04-25 08:43:21;20,7;46,9
154;2022-04-25 08:48:21;20,7;47,4
155;2022-04-25 08:53:21;20,7;47,4
156;2022-04-25 08:58:21;20,7;47,4
157;2022-04-25 09:03:21;20,8;47,4
158;2022-04-25 09:08:21;20,8;47,4
159;2022-04-25 09:13:21;20,8;47,4
160;2022-04-25 09:18:21;20,9;46,9
161;2022-04-25 09:23:21;20,9;46,9
162;2022-04-25 09:28:21;20,9;46,9
163;2022-04-25 09:33:21;20,9;47,4
164;2022-04-25 09:38:21;20,9;46,9
165;2022-04-25 09:43:21;20,9;47,4
166;2022-04-25 09:48:21;20,9;46,9
167;2022-04-25 09:53:21;21;46,9
168;2022-04-25 09:58:21;21;46,9
169;2022-04-25 10:03:21;21;46,9
170;2022-04-25 10:08:21;21,1;46,9
171;2022-04-25 10:13:21;21,1;46,9
172;2022-04-25 10:18:21;21,1;46,9
173;2022-04-25 10:23:21;21,1;46,9
174;2022-04-25 10:28:21;21,2;46,9
175;2022-04-25 10:33:21;21,2;47
176;2022-04-25 10:38:21;21,2;47
177;2022-04-25 10:43:21;21,2;47
178;2022-04-25 10:48:21;21,2;47
179;2022-04-25 10:53:21;21,2;46,9
180;2022-04-25 10:58:21;21,1;46,9
181;2022-04-25 11:03:21;21,1;46,9
182;2022-04-25 11:08:21;21,1;46,9
183;2022-04-25 11:13:21;21,1;46,9
184;2022-04-25 11:18:21;21;46,9
185;2022-04-25 11:23:21;21;46,9
186;2022-04-25 11:28:21;21;46,9
187;2022-04-25 11:33:21;20,9;46,9
188;2022-04-25 11:38:21;20,9;46,9
189;2022-04-25 11:43:21;20,9;46,9
190;2022-04-25 11:48:21;20,9;46,9
