;fixed_time;0BC-T1;0BC-T2;0BC-T3;0BC-T4;09F-T1;09F-T2;09F-T3;146-T1;146-T2;146-T3;146-T4;09F-T4;real_time
1;2021-03-01 13:00:35;-43,71;-41,94;-43,91;-39,38;-45,66;-39,97;-40,36;-36,83;-37,8;-36,64;-37,8;22,77;2021-03-01 13:00:35
2;2021-03-01 13:01:36;-43,91;-42,33;-44,3;-39,77;-45,85;-40,55;-40,75;-37,02;-38,02;-36,64;-38,22;22,57;2021-03-01 13:01:36
3;2021-03-01 13:02:37;-44,49;-42,72;-44,88;-40,16;-46,27;-40,94;-41,74;-37,41;-38,22;-37,02;-38,02;22,37;2021-03-01 13:02:37
4;2021-03-01 13:03:37;-45,08;-43,13;-45,27;-40,55;-47,05;-41,55;-41,74;-37,8;-38,41;-37,41;-39,19;21,97;2021-03-01 13:03:37
5;2021-03-01 13:04:38;-45,47;-43,52;-45,66;-40,75;-47,24;-41,74;-42,52;-37,8;-38,8;-37,41;-39,58;21,97;2021-03-01 13:04:38
6;2021-03-01 13:05:39;-46,07;-43,91;-45,85;-41,16;-47,63;-42,13;-42,72;-38,22;-38,8;-37,8;-39,77;21,57;2021-03-01 13:05:39
7;2021-03-01 13:06:39;-46,07;-44,3;-46,27;-41,55;-48,02;-42,72;-43,13;-38,61;-39,58;-38,02;-39,97;21,57;2021-03-01 13:06:39
8;2021-03-01 13:07:40;-46,27;-44,49;-46,66;-41,94;-48,41;-43,33;-43,52;-38,61;-39,58;-38,41;-40,55;21,57;2021-03-01 13:07:40
9;2021-03-01 13:08:41;-47,05;-45,08;-47,05;-42,33;-48,8;-43,52;-43,91;-39;-40,16;-38,41;-40,94;21,17;2021-03-01 13:08:41
10;2021-03-01 13:09:42;-47,24;-45,27;-47,24;-42,72;-49,21;-43,71;-44,69;-39,19;-40,16;-38,61;-40,75;21,17;2021-03-01 13:09:42
11;2021-03-01 13:10:42;-47,63;-45,66;-47,44;-43,13;-49,8;-43,91;-44,88;-39,38;-40,36;-39,19;-41,16;21,17;2021-03-01 13:10:42
12;2021-03-01 13:11:43;-47,63;-46,07;-47,63;-43,52;-49,99;-44,49;-45,08;-39,58;-40,55;-39,38;-41,74;21,17;2021-03-01 13:11:43
13;2021-03-01 13:12:44;-48,02;-46,46;-48,02;-43,71;-50,18;-45,27;-45,66;-39,77;-40,94;-39,58;-42,13;20,97;2021-03-01 13:12:44
14;2021-03-01 13:13:45;-48,02;-46,85;-48,6;-44,1;-50,57;-45,27;-45,85;-40,55;-41,35;-39,77;-42,72;20,77;2021-03-01 13:13:45
15;2021-03-01 13:14:45;-48,8;-47,24;-49,02;-44,3;-51,16;-45,47;-46,66;-40,55;-41,35;-39,97;-43,13;20,97;2021-03-01 13:14:45
16;2021-03-01 13:15:46;-49,02;-47,44;-49,02;-44,88;-51,55;-46,07;-47,05;-40,75;-41,94;-40,55;-43,13;20,97;2021-03-01 13:15:46
17;2021-03-01 13:16:47;-49,21;-47,82;-49,41;-45,08;-51,94;-46,46;-47,44;-40,94;-41,74;-40,55;-43,71;20,37;2021-03-01 13:16:47
18;2021-03-01 13:18:48;-49,8;-48,41;-50,18;-45,66;-51,94;-46,66;-47,82;-41,16;-42,13;-40,75;-43,91;20,57;2021-03-01 13:18:48
19;2021-03-01 13:19:49;-50,38;-48,8;-50,18;-46,27;-52,32;-47,05;-47,82;-41,55;-42,72;-41,16;-44,49;20,57;2021-03-01 13:19:49
20;2021-03-01 13:20:50;-50,96;-49,02;-50,57;-46,46;-52,52;-47,44;-48,41;-41,74;-42,91;-41,55;-44,88;20,37;2021-03-01 13:20:50
21;2021-03-01 13:21:51;-50,77;-49,41;-50,77;-46,85;-52,91;-47,82;-48,6;-42,13;-43,33;-41,55;-45,08;20,57;2021-03-01 13:21:51
22;2021-03-01 13:22:51;-51,35;-49,8;-51,16;-47,24;-53,32;-48,21;-49,21;-42,33;-43,52;-42,13;-45,66;19,98;2021-03-01 13:22:51
23;2021-03-01 13:23:52;-51,55;-49,99;-51,16;-47,44;-53,32;-48,41;-49,8;-42,33;-43,71;-42,33;-46,27;20,18;2021-03-01 13:23:52
24;2021-03-01 13:24:53;-51,94;-50,18;-51,55;-47,63;-53,91;-48,8;-49,8;-42,72;-43,91;-42,52;-46,07;19,98;2021-03-01 13:24:53
25;2021-03-01 13:25:54;-51,94;-50,57;-51,74;-48,02;-54,1;-49,02;-49,99;-43,33;-44,3;-42,72;-46,46;20,37;2021-03-01 13:25:54
26;2021-03-01 13:26:54;-52,32;-50,77;-51,94;-48,41;-54,1;-49,41;-50,38;-43,71;-44,49;-42,91;-47,05;20,18;2021-03-01 13:26:54
27;2021-03-01 13:27:55;-52,32;-51,16;-52,32;-48,6;-54,68;-49,8;-50,96;-43,91;-44,88;-43,33;-47,24;19,98;2021-03-01 13:27:55
28;2021-03-01 13:29:57;-52,71;-51,74;-52,52;-49,21;-55,07;-50,18;-50,96;-44,1;-45,27;-43,33;-47,44;19,78;2021-03-01 13:29:57
29;2021-03-01 13:30:57;-53,13;-51,94;-52,71;-49,6;-55,07;-50,38;-51,16;-44,3;-45,27;-43,71;-47,82;19,98;2021-03-01 13:30:57
30;2021-03-01 13:31:58;-53,13;-52,32;-53,13;-49,8;-55,46;-50,77;-51,55;-44,69;-45,66;-44,1;-48,41;19,78;2021-03-01 13:31:58
31;2021-03-01 13:32:59;-53,52;-52,52;-53,52;-50,18;-55,85;-51,16;-52,13;-45,08;-45,85;-44,49;-48,41;19,98;2021-03-01 13:32:59
32;2021-03-01 13:34:00;-53,52;-52,71;-53,52;-50,57;-56,05;-51,55;-52,13;-45,08;-46,46;-44,88;-49,02;19,58;2021-03-01 13:34:00
33;2021-03-01 13:35:00;-54,1;-53,13;-53,71;-50,96;-56,24;-51,74;-52,71;-45,47;-46,66;-44,88;-49,02;19,78;2021-03-01 13:35:00
34;2021-03-01 13:36:01;-54,49;-53,32;-54,1;-51,16;-56,63;-51,94;-52,91;-45,66;-47,05;-45,47;-49,6;19,78;2021-03-01 13:36:01
35;2021-03-01 13:37:02;-54,49;-53,52;-54,1;-51,55;-56,82;-52,52;-53,32;-45,85;-47,44;-45,66;-49,6;19,78;2021-03-01 13:37:02
36;2021-03-01 13:38:03;-54,88;-53,71;-54,29;-51,74;-56,82;-52,71;-53,71;-46,66;-47,44;-46,07;-50,38;19,58;2021-03-01 13:38:03
37;2021-03-01 13:39:03;-54,68;-53,91;-54,68;-52,13;-57,21;-52,91;-53,91;-46,85;-47,82;-46,07;-50,57;19,38;2021-03-01 13:39:03
38;2021-03-01 13:40:04;-55,07;-54,1;-54,88;-52,32;-57,6;-53,32;-54,29;-46,66;-48,02;-46,46;-51,16;19,38;2021-03-01 13:40:04
39;2021-03-01 13:41:05;-55,46;-54,49;-55,07;-52,71;-57,6;-53,52;-54,49;-47,44;-48,41;-46,66;-50,96;19,38;2021-03-01 13:41:05
40;2021-03-01 13:42:06;-55,66;-54,68;-55,07;-53,13;-57,8;-53,71;-54,49;-47,63;-49,02;-47,05;-51,35;19,58;2021-03-01 13:42:06
41;2021-03-01 13:43:15;-55,66;-54,88;-55,46;-53,52;-58,41;-54,1;-54,88;-47,82;-49,02;-47,24;-52,13;19,38;2021-03-01 13:43:15
42;2021-03-01 13:44:07;-56,05;-55,07;-55,66;-53,71;-58,6;-54,29;-55,27;-48,21;-49,6;-47,63;-52,13;19,18;2021-03-01 13:44:07
43;2021-03-01 13:45:08;-56,24;-55,46;-56,05;-54,1;-58,79;-54,68;-55,66;-48,21;-49,41;-47,82;-52,32;19,38;2021-03-01 13:45:08
44;2021-03-01 13:46:09;-56,43;-55,66;-56,05;-54,29;-58,79;-55,07;-55,85;-48,6;-49,6;-48,21;-52,71;19,38;2021-03-01 13:46:09
45;2021-03-01 13:47:10;-56,63;-56,05;-56,24;-54,49;-59,38;-55,07;-56,24;-48,8;-49,99;-48,41;-52,71;19,18;2021-03-01 13:47:10
46;2021-03-01 13:48:10;-57,02;-56,05;-56,24;-54,88;-59,57;-55,46;-56,43;-49,21;-49,99;-48,8;-52,91;18,95;2021-03-01 13:48:10
47;2021-03-01 13:49:11;-57,41;-56,24;-56,24;-55,27;-59,57;-55,66;-57,02;-49,6;-50,57;-49,21;-53,71;19,18;2021-03-01 13:49:11
48;2021-03-01 13:50:12;-57,6;-56,43;-56,24;-55,46;-59,96;-56,05;-57,02;-49,6;-50,96;-49,41;-53,52;18,95;2021-03-01 13:50:12
49;2021-03-01 13:51:13;-58,02;-56,82;-56,63;-55,66;-60,35;-56,24;-57,41;-50,18;-50,96;-49,8;-54,49;19,18;2021-03-01 13:51:13
50;2021-03-01 13:52:13;-58,02;-57,02;-56,82;-56,24;-60,74;-56,63;-57,8;-50,18;-51,35;-49,8;-54,1;19,18;2021-03-01 13:52:13
51;2021-03-01 13:53:14;-58,21;-57,21;-57,02;-56,43;-60,55;-56,82;-58,21;-50,57;-51,94;-50,38;-54,49;18,95;2021-03-01 13:53:14
52;2021-03-01 13:54:15;-58,41;-57,41;-57,21;-56,63;-60,93;-57,02;-58,41;-50,77;-51,94;-50,57;-54,88;18,95;2021-03-01 13:54:15
53;2021-03-01 13:55:16;-58,6;-57,6;-57,41;-57,02;-61,13;-57,21;-58,79;-50,96;-52,13;-50,77;-55,27;18,95;2021-03-01 13:55:16
54;2021-03-01 13:56:17;-58,79;-57,8;-57,8;-57,21;-61,13;-57,41;-58,99;-51,55;-52,52;-50,96;-55,66;19,18;2021-03-01 13:56:17
55;2021-03-01 13:57:17;-58,99;-58,02;-58,02;-57,41;-61,52;-57,8;-59,18;-51,55;-52,91;-51,16;-55,85;18,95;2021-03-01 13:57:17
56;2021-03-01 13:58:18;-59,18;-58,21;-58,21;-57,8;-61,71;-58,02;-59,38;-51,94;-53,13;-51,55;-56,05;18,75;2021-03-01 13:58:18
57;2021-03-01 13:59:19;-59,38;-58,6;-58,41;-58,02;-61,91;-58,21;-59,57;-52,13;-53,32;-51,55;-56,82;18,95;2021-03-01 13:59:19
58;2021-03-01 14:00:20;-59,57;-58,6;-58,6;-58,21;-61,91;-58,6;-59,96;-52,32;-53,71;-51,74;-56,63;18,95;2021-03-01 14:00:20
59;2021-03-01 14:01:20;-59,77;-58,99;-58,79;-58,41;-62,3;-58,79;-60,35;-52,52;-53,71;-52,13;-56,82;18,95;2021-03-01 14:01:20
60;2021-03-01 14:02:21;-59,96;-59,18;-58,99;-58,79;-62,49;-58,99;-60,55;-52,71;-53,91;-52,32;-57,41;18,75;2021-03-01 14:02:21
61;2021-03-01 14:03:22;-60,16;-59,38;-59,18;-58,99;-62,49;-59,18;-60,93;-53,13;-54,29;-52,52;-57,21;18,75;2021-03-01 14:03:22
62;2021-03-01 14:04:23;-60,35;-59,77;-59,38;-59,38;-62,88;-59,57;-61,13;-53,13;-54,1;-52,71;-57,6;18,75;2021-03-01 14:04:23
63;2021-03-01 14:05:23;-60,55;-59,77;-59,57;-59,57;-63,27;-59,57;-61,32;-53,32;-54,49;-52,91;-58,21;18,95;2021-03-01 14:05:23
64;2021-03-01 14:06:24;-60,74;-59,96;-59,77;-59,77;-63,46;-59,96;-61,71;-53,52;-54,88;-53,13;-58,21;18,95;2021-03-01 14:06:24
65;2021-03-01 14:07:25;-61,13;-60,16;-59,96;-59,96;-63,66;-60,16;-62,1;-54,1;-55,27;-53,52;-58,79;18,75;2021-03-01 14:07:25
66;2021-03-01 14:08:26;-61,32;-60,35;-60,55;-60,16;-64,05;-60,35;-61,91;-54,29;-55,27;-53,71;-59,18;18,75;2021-03-01 14:08:26
67;2021-03-01 14:09:27;-61,32;-60,55;-60,55;-60,16;-64,24;-60,55;-62,49;-54,68;-55,85;-54,1;-59,38;18,95;2021-03-01 14:09:27
68;2021-03-01 14:10:27;-61,32;-60,74;-60,55;-60,55;-64,24;-60,74;-62,69;-54,68;-56,05;-54,1;-59,96;18,95;2021-03-01 14:10:27
69;2021-03-01 14:11:28;-61,52;-60,74;-60,55;-60,74;-64,24;-61,13;-62,69;-54,68;-56,05;-54,49;-59,96;18,75;2021-03-01 14:11:28
70;2021-03-01 14:12:29;-61,91;-61,13;-60,74;-60,74;-64,63;-61,13;-63,07;-54,88;-56,43;-54,68;-60,16;18,75;2021-03-01 14:12:29
71;2021-03-01 14:14:30;-62,3;-61,52;-61,52;-61,13;-65,02;-61,32;-63,46;-55,27;-56,82;-55,07;-60,55;18,55;2021-03-01 14:14:30
72;2021-03-01 14:15:31;-62,3;-61,71;-61,52;-61,32;-65,21;-61,52;-63,66;-55,66;-57,02;-55,07;-60,35;18,55;2021-03-01 14:15:31
73;2021-03-01 14:16:32;-62,49;-61,91;-61,52;-61,52;-65,21;-61,91;-63,85;-55,85;-57,41;-55,85;-60,93;18,95;2021-03-01 14:16:32
74;2021-03-01 14:17:33;-62,69;-62,1;-61,71;-61,71;-65,6;-62,1;-63,85;-56,24;-57,8;-55,85;-61,32;19,38;2021-03-01 14:17:33
75;2021-03-01 14:18:34;-62,88;-62,1;-62,1;-61,91;-65,8;-62,49;-64,44;-56,63;-57,8;-56,24;-61,52;19,18;2021-03-01 14:18:34
