Informe de datos;;;;;
Archivo creado el:2022-05-28 18:47:39;;;;;
;;;;;
Información del dispositivo;;;;;
Modelo de dispositivo;RC-4HC;Intervalo de registro;5m;Hora de inicio;2022-05-21 11:32:08
Espacio total;16000;Presiona el botón;Habilitar;Unidad de temperatura;°C
Modo de almacenamiento;N/A;Tono de alarma;Inhabilitar;;
Tono de botón;Inhabilitar;Intervalo de registro acortado en alarma;N/A;;
Descripción del viaje;;;;;
Número de serie;V763;;;;
Descripción del viaje;RC-4HC Data Logger;;;;
Configuración de alarma;Estado de alarma;;;;
H1:80,0°C;Normal;;;;
Zona ideal;;;;;
L1:-30,0°C;Normal;;;;
Encima:90,0%;Normal;;;;
Zona ideal;;;;;
Abajo:20,0%;Normal;;;;
Resumen;;;;;
Puntos de datos;2104;;MKT;20,5;
Primera lectura;2022-05-21 11:32:08;;Última lectura;2022-05-28 18:47:08;
Máximo(Temperatura);25,4°C;;Mínimo(Temperatura);17,5°C;
Promedio(Temperatura);20,4°C;;Tiempo de grabación;7D 7H 15M 0S;
Primera alarma(Temperatura);N/A;;;;
Máximo(Humedad);79,6%;;Mínimo(Humedad);56,2%;
Promedio(Humedad);70,3%;;;;
Primera alarma(Humedad);N/A;;;;
;;;;;
No,;Tiempo;Temperatura°C;Humedad%;;
1;2022-05-21 11:32:08;24;59,4;;
2;2022-05-21 11:37:08;22,9;62,1;;
3;2022-05-21 11:42:08;22,2;63,9;;
4;2022-05-21 11:47:08;21,8;64,3;;
5;2022-05-21 11:52:08;21,3;65,6;;
6;2022-05-21 11:57:08;20,9;66;;
7;2022-05-21 12:02:08;20,8;66,9;;
8;2022-05-21 12:07:08;20,6;67,3;;
9;2022-05-21 12:12:08;20,4;67,7;;
10;2022-05-21 12:17:08;24,1;65,1;;
11;2022-05-21 12:22:08;22,9;62,1;;
12;2022-05-21 12:27:08;22,2;63,4;;
13;2022-05-21 12:32:08;21,8;64,7;;
14;2022-05-21 12:37:08;21,5;66,6;;
15;2022-05-21 12:42:08;21,4;67;;
16;2022-05-21 12:47:08;21,2;67,4;;
17;2022-05-21 12:52:08;21,1;67,8;;
18;2022-05-21 12:57:08;21,1;68,7;;
19;2022-05-21 13:02:08;21,1;68,7;;
20;2022-05-21 13:07:08;21,2;68,8;;
21;2022-05-21 13:12:08;21,4;67,9;;
22;2022-05-21 13:17:08;21,5;67,9;;
23;2022-05-21 13:22:08;21,6;67,9;;
24;2022-05-21 13:27:08;21,7;68,4;;
25;2022-05-21 13:32:08;21,8;68,4;;
26;2022-05-21 13:37:08;21,9;68,4;;
27;2022-05-21 13:42:08;22;68;;
28;2022-05-21 13:47:08;22,1;67,5;;
29;2022-05-21 13:52:08;22,1;67,5;;
30;2022-05-21 13:57:08;22,1;68;;
31;2022-05-21 14:02:08;22;68,5;;
32;2022-05-21 14:07:08;22,1;68,5;;
33;2022-05-21 14:12:08;22,1;68,5;;
34;2022-05-21 14:17:08;22,1;68,5;;
35;2022-05-21 14:22:08;22;68,9;;
36;2022-05-21 14:27:08;22;69,4;;
37;2022-05-21 14:32:08;22;68,9;;
38;2022-05-21 14:37:08;21,9;68,9;;
39;2022-05-21 14:42:08;21,8;68,9;;
40;2022-05-21 14:47:08;21,8;68,4;;
41;2022-05-21 14:52:08;21,8;68,4;;
42;2022-05-21 14:57:08;21,8;68,4;;
43;2022-05-21 15:02:08;21,8;68,4;;
44;2022-05-21 15:07:08;21,7;68,4;;
45;2022-05-21 15:12:08;21,7;68,4;;
46;2022-05-21 15:17:08;21,7;67,9;;
47;2022-05-21 15:22:08;21,7;67,9;;
