RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;V122;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0.0 H;;
Data Sum;3414;;
Temperature Maximum;34.4°C;;
Temperature Minimum;7.3°C;;
Temperature Average;15.7°C;;
Temperature Alarm Upper Limit;70.0°C;;
Temperature Alarm Lower Limit;-30.0°C;;
Humidity Maximum;99.9%RH;;
Humidity Minimum;28.8%RH;;
Humidity Average;59.5%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;9/09/2020 11:16;;
End Time;21/09/2020 10:41;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-17,9;53.9
2;2020/09/09 13:01:00;-17,7;56.6
3;2020/09/09 13:02:00;-17,2;58
4;2020/09/09 13:03:00;-17,4;57.9
5;2020/09/09 13:04:00;-19,5;58.8
6;2020/09/09 13:05:00;-20,9;59.2
7;2020/09/09 13:06:00;-21,7;60.2
8;2020/09/09 13:07:00;-22,2;61
9;2020/09/09 13:08:00;-22,6;61.7
10;2020/09/09 13:09:00;-22,8;63.9
11;2020/09/09 13:10:00;-22,8;65.6
12;2020/09/09 13:11:00;-22,9;66.5
13;2020/09/09 13:12:00;-22,9;67.3
14;2020/09/09 13:13:00;-22,9;67.8
15;2020/09/09 13:14:00;-22,9;68.2
16;2020/09/09 13:15:00;-22,9;68.7
17;2020/09/09 13:16:00;-22,8;69.6
18;2020/09/09 13:17:00;-22,8;70
19;2020/09/09 13:18:00;-22,8;69.6
20;2020/09/09 13:19:00;-22,7;70.1
21;2020/09/09 13:20:00;-22,7;70.1
22;2020/09/09 13:21:00;-22,7;69.6
23;2020/09/09 13:22:00;-22,7;69.6
24;2020/09/09 13:23:00;-22,7;69.6
25;2020/09/09 13:24:00;-22,7;70.1
26;2020/09/09 13:25:00;-22,6;70.1
27;2020/09/09 13:26:00;-22,6;69.6
28;2020/09/09 13:27:00;-22,6;69.6
29;2020/09/09 13:28:00;-22,6;70.1
30;2020/09/09 13:29:00;-22,6;70
31;2020/09/09 13:30:00;-22,7;70
32;2020/09/09 13:31:00;-22,7;70.5
33;2020/09/09 13:32:00;-22,8;70.5
34;2020/09/09 13:33:00;-22,7;70.9
35;2020/09/09 13:34:00;-22,7;70.9
36;2020/09/09 13:35:00;-22,7;70.9
37;2020/09/09 13:36:00;-22,7;70.9
38;2020/09/09 13:37:00;-22,6;70.9
39;2020/09/09 13:38:00;-22,6;70.9
40;2020/09/09 13:39:00;-22,5;71.4
41;2020/09/09 13:40:00;-22,4;70.9
42;2020/09/09 13:41:00;-22,3;71
43;2020/09/09 13:42:00;-22,3;71
44;2020/09/09 13:43:00;-22,3;70.5
45;2020/09/09 13:44:00;-22,3;70.1
46;2020/09/09 13:45:00;-22,4;69.7
47;2020/09/09 13:46:00;-22,4;70.1
48;2020/09/09 13:47:00;-22,5;70
49;2020/09/09 13:48:00;-22,6;70
50;2020/09/09 13:49:00;-22,7;70
51;2020/09/09 13:50:00;-22,8;70.4
52;2020/09/09 13:51:00;-22,9;70.8
53;2020/09/09 13:52:00;-23;71.2
54;2020/09/09 13:53:00;-23,1;71.1
55;2020/09/09 13:54:00;-23,2;71.6
56;2020/09/09 13:55:00;-23,3;72
57;2020/09/09 13:56:00;-23,3;72.4
58;2020/09/09 13:57:00;-23,4;72.8
59;2020/09/09 13:58:00;-23,5;72.8
60;2020/09/09 13:59:00;-23,6;73.2
61;2020/09/09 14:00:00;-23,6;73.6
62;2020/09/09 14:01:00;-23,7;73.5
63;2020/09/09 14:02:00;-23,8;73.9
64;2020/09/09 14:03:00;-23,9;73.9
65;2020/09/09 14:04:00;-24;74.3
66;2020/09/09 14:05:00;-24,1;74.3
67;2020/09/09 14:06:00;-24,1;74.7
