RC-4HC Temperature+Humidity Data Logger;;;
User Information;RC-4HC Data Logger;;
Number;V104;;
Interval    ;0:5:0 H:M:S;;
Delay Time;0,0 H;;
Data Sum;3424;;
Temperature Maximum;31,7°C;;
Temperature Minimum;7,8°C;;
Temperature Average;15,7°C;;
Temperature Alarm Upper Limit;60,0°C;;
Temperature Alarm Lower Limit;-30,0°C;;
Humidity Maximum;85,1%RH;;
Humidity Minimum;31,4%RH;;
Humidity Average;60%RH;;
Humidity Alarm Upper Limit;90%RH;;
Humidity Alarm Lower Limit;20%RH;;
Start Time;9/09/2020  2:16:22 p, m,;;
End Time;21/09/2020  11:31:22 a, m,;;
Date Format;yyyy-MM-dd HH:mm:ss;;
Temperature Unit;°C;;
Number;Time;Temperature°C;Humidity%RH
1;2020/09/09 13:00:00;-17,9;61,6
2;2020/09/09 13:01:00;-17,7;62,1
3;2020/09/09 13:02:00;-17,2;61,3
4;2020/09/09 13:03:00;-17,4;60,3
5;2020/09/09 13:04:00;-19,5;61,4
6;2020/09/09 13:05:00;-20,9;64,4
7;2020/09/09 13:06:00;-21,7;66,5
8;2020/09/09 13:07:00;-22,2;68,3
9;2020/09/09 13:08:00;-22,6;69,1
10;2020/09/09 13:09:00;-22,8;70,4
11;2020/09/09 13:10:00;-22,8;70,8
12;2020/09/09 13:11:00;-22,9;71,2
13;2020/09/09 13:12:00;-22,9;72,1
14;2020/09/09 13:13:00;-22,9;72,5
15;2020/09/09 13:14:00;-22,9;72,9
16;2020/09/09 13:15:00;-22,9;72,9
17;2020/09/09 13:16:00;-22,8;73,4
18;2020/09/09 13:17:00;-22,8;73,4
19;2020/09/09 13:18:00;-22,8;73,8
20;2020/09/09 13:19:00;-22,7;73,8
21;2020/09/09 13:20:00;-22,7;73,4
22;2020/09/09 13:21:00;-22,7;73,8
23;2020/09/09 13:22:00;-22,7;73,8
24;2020/09/09 13:23:00;-22,7;73,8
25;2020/09/09 13:24:00;-22,7;73,8
26;2020/09/09 13:25:00;-22,6;73,9
27;2020/09/09 13:26:00;-22,6;73,9
28;2020/09/09 13:27:00;-22,6;73,9
29;2020/09/09 13:28:00;-22,6;73,9
30;2020/09/09 13:29:00;-22,6;73,9
31;2020/09/09 13:30:00;-22,7;73,8
32;2020/09/09 13:31:00;-22,7;73,8
33;2020/09/09 13:32:00;-22,8;73,8
34;2020/09/09 13:33:00;-22,7;74,3
35;2020/09/09 13:34:00;-22,7;74,7
36;2020/09/09 13:35:00;-22,7;74,7
37;2020/09/09 13:36:00;-22,7;74,7
38;2020/09/09 13:37:00;-22,6;74,7
39;2020/09/09 13:38:00;-22,6;74,7
40;2020/09/09 13:39:00;-22,5;74,7
41;2020/09/09 13:40:00;-22,4;74,7
42;2020/09/09 13:41:00;-22,3;74,8
43;2020/09/09 13:42:00;-22,3;74,8
44;2020/09/09 13:43:00;-22,3;74,8
45;2020/09/09 13:44:00;-22,3;74,8
46;2020/09/09 13:45:00;-22,4;74,3
47;2020/09/09 13:46:00;-22,4;74,3
48;2020/09/09 13:47:00;-22,5;74,3
49;2020/09/09 13:48:00;-22,6;74,3
50;2020/09/09 13:49:00;-22,7;74,7
51;2020/09/09 13:50:00;-22,8;74,7
52;2020/09/09 13:51:00;-22,9;74,7
53;2020/09/09 13:52:00;-23;74,6
54;2020/09/09 13:53:00;-23,1;74,6
55;2020/09/09 13:54:00;-23,2;74,6
56;2020/09/09 13:55:00;-23,3;74,6
57;2020/09/09 13:56:00;-23,3;75
58;2020/09/09 13:57:00;-23,4;75
59;2020/09/09 13:58:00;-23,5;75,4
60;2020/09/09 13:59:00;-23,6;75,3
61;2020/09/09 14:00:00;-23,6;75,3
62;2020/09/09 14:01:00;-23,7;75,3
63;2020/09/09 14:02:00;-23,8;75,3
64;2020/09/09 14:03:00;-23,9;75,3
65;2020/09/09 14:04:00;-24;75,3
66;2020/09/09 14:05:00;-24,1;75,7
67;2020/09/09 14:06:00;-24,1;75,7
68;2020/09/09 14:07:00;-24,2;75,6
69;2020/09/09 14:08:00;-24,3;76
70;2020/09/09 14:09:00;-24,4;76
71;2020/09/09 14:10:00;-24,4;76
